,Value(uM),Subject Age,Subject Sex,Subject Information,Comment,File
39,10.60-143.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
40,500-3000,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-06
41,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
42,76.9 +/- 66.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
43,180.0 (22.0-700.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-06
44,<0.1,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-07
45,0.052 (0.049-0.056),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-07
46,0.200 (0.100-0.300),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-07
47,0.6 +/- 0.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-07
48,0.2 (0.0-0.5),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-08
49,0.0039 +/- 0.0004,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-09
50,<0.0250,Not Specified,Both,Normal,None,hmdb_metabolites-09
51,<0.0600,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-09
52,0.073 (0.034-0.11),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-10
53,0.00009-0.000999,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-10
54,0.027 (0.0062-3.14),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-11
55,0.040 +/- 0.007,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-11
56,0.0071 +/- 0.005,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-11
57,0.0097 +/- 0.00665,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-11
58,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-11
59,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-11
60,14.0 (0.0-28.0),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-12
61,11.0 +/- 1.7,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-12
62,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-12
63,6.346 +/- 0.518,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
64,6.695 +/- 0.555,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
65,6.387 +/- 0.586,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
66,7.911 +/- 1,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
67,6.5 +/- 0.432,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
68,6.661 +/- 0.692,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
69,5.791 +/- 0.609,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
70,42.412 +/- 35.919,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-13
71,0.230 (0.070-0.390),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-13
72,0.00069 +/- 0.00020,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-14
73,0.0025 (0.0016-0.0029),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-15
74,21.0 +/- 2.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-16
75,20.0 (4.0-48.0),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-16
76,,,,Normal,None,hmdb_metabolites-18
77,0.0110 +/- 0.0008,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19
78,0.0093 +/- 0.0005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-19
79,0.0034 (0.002 - 0.0051),Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-20
80,0.0016 (0.0009 - 0.0028),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-20
81,0.0024 (0.0008 - 0.0041),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-20
82,0.11-0.13,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-20
83,0.00127 +/- 0.00067,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-20
84,,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-21
85,0.00065 (0.00053-0.00088),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-21
86,0.12 +/- 0.014,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-21
87,<0.65,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-22
88,5.0 +/- 2.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-22
89,0.00-0.10,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-23
90,6.54 +/- 1.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-23
91,3.1 +/- 7.5,Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-23
92,0.3 +/-  0.1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-24
93,0.64 +/- 0.15,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-24
94,0.38 +/- 0.20,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-25
95,0.1(0.1-0.5),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-25
96,0.000139-0.00486,Newborn (0-30 days old),Female,Normal,None,hmdb_metabolites-26
97,0.000026 (0.000008 - 0.000044),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-26
98,0.00011 (0.000055 -  0.002),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-26
99,0.000194-0.00305,Not Specified,Not Specified,Normal,None,hmdb_metabolites-26
100,0.00005549-0.000361,Adolescent (13-18 years old),Not Specified,Normal,None,hmdb_metabolites-26
101,0.000282 +/- 0.000037,Elderly (>65 years old),Both,Normal,None,hmdb_metabolites-26
102,0.000263 +/- 0.000014,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-26
103,0.00042 +/- 0.00004,Elderly (>65 years old),Both,Normal,None,hmdb_metabolites-26
104,0.000055 - 0.000500,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-26
105,<0.000444,Not Specified,Not Specified,Normal,None,hmdb_metabolites-26
106,0.000106-0.000869,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-26
107,0.00002774-0.000444,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-26
108,0.000139-0.00250,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-26
109,0.0000010-0.00000666,Not Specified,Female,Normal,None,hmdb_metabolites-26
110,0.000391-0.00309,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-26
111,<0.000860,Not Specified,Not Specified,Normal,None,hmdb_metabolites-26
112,0.006 +/- 0.0003,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-27
113,1.0 (0.3- 1.5),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-28
114,30.4 (22.0-40.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-29
115,69.14(30.49),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-29
116,26.8-64.2,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-29
117,41.9 +/- 15.1,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-29
118,26-67,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-30
119,20-285,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-30
120,33.6 (23.9-42.1),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-30
121,82.0 (20.0-144.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-30
122,56.99 +/- 15.35,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-30
123,54.77(15.5),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-30
124,20.00-144.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-30
125,72 +/- 22.4,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-30
126,88.6 (21.0 - 171.0),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-31
127,60.8 +/- 15.9,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-31
128,51.0 (11.0 - 125.0),Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-31
129,36.0 +/- 18.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-31
130,63.0 (11.0-114.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-31
131,8.19,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-31
132,48.829 +/- 23.847,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-31
133,9.06,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-31
134,35.4-80.1,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-31
135,22.2 (14.0-40.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-31
136,27.0 (11.1-49.7),Adult (>18 years old),Male,Normal,None,hmdb_metabolites-31
137,50.9 (35.4-80.1),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-31
138,5.1+/- 1.3,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-32
139,51.0 (10.0-92.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-32
140,14.0 +/- 3.0,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-32
141,6.2 +/- 3.1,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-32
142,0.505 +/- 0.142,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-34
143,5.66 +/- 1.71,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-34
144,0.285 +/- 0.060,Adult (>18 years old),Both,Normal ,None,hmdb_metabolites-34
145,0.2 (0.1-0.3),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-34
146,0.0425 +/- 0.0029,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-34
147,0.31 +/- 0.29,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-34
148,<50,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
149,15-35,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
150,<60,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-35
151,<54,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
152,22-48,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
153,<50,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
154,15-45,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
155,21-50,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-35
156,<4.404,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-35
157,<50,Infant (0-1 year old),Male,Normal,None,hmdb_metabolites-35
158,14-50,Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-35
159,27.5 +/- 3.6,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-35
160,17-47,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-35
161,18 - 74,Infant (0-1 year old),Male,Normal,None,hmdb_metabolites-35
162,5.872-35.231,Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-35
163,13.000-42.000,Not Specified,Not Specified,Normal,None,hmdb_metabolites-35
164,29.0 (10.0-47.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-35
165,40.0 (0 - 80.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-35
166,11-32,Not Specified,Not Specified,Normal,None,hmdb_metabolites-35
167,29.0 (13.0 - 46.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-35
168,35.0 (20.0 - 58.0),Adult (>18 years old),Male,Normal,None,hmdb_metabolites-35
169,29.0 (17.0 - 51.0),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-35
170,1467.955 (763.336-2231.291),Children (1 - 13 years old),Not Specified,Normal,None,hmdb_metabolites-35
171,9-33,Adolescent (13-18 years old),Male,Normal,None,hmdb_metabolites-35
172,<2,Infant (0-1 year old),Male,Normal,None,hmdb_metabolites-36
173,0-5,Newborn (0-30 days old),Both,Normal,None,hmdb_metabolites-36
174,0-5,Infant (1 - 3 months old),Both,Normal,None,hmdb_metabolites-36
175,0-5,Children (3 months - 6 years old),Both,Normal,None,hmdb_metabolites-36
176,0-5,Children (6 - 18 years old),Both,Normal,None,hmdb_metabolites-36
177,0-1,Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-36
178,0.000698,Newborn (0-30 days old),Female,Normal,None,hmdb_metabolites-37
179,0.00244-0.00768,Not Specified,Not Specified,Normal,None,hmdb_metabolites-37
180,<0.0140,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-37
181,0.00489 +/- 0.00196,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-37
182,0.0059 (0.0023-0.0094),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-37
183,0.00315 (0.00000-0.00630),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-37
184,,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-37
185,0.00524 +/- 0.00140,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-37
186,0.000978-0.00803,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-37
187,0.00061 +/- 0.00022,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-37
188,<0.00100,Not Specified,Both,Normal,None,hmdb_metabolites-37
189,0.0022 (0.0010-0.0034),Children (1-13 years old),Both,Normal,None,hmdb_metabolites-37
190,0.005 (0.0024-0.0070),Adolescent (13-18 years old),Female,Normal,None,hmdb_metabolites-37
191,0.0040 (0.0013-0.0066),Children (1-13 years old),Female,Normal,None,hmdb_metabolites-37
192,0.001 (0.00034-0.00170),Children (1-13 years old),Female,Normal,None,hmdb_metabolites-37
193,0.0057 (0.00069-0.01),Adult (>18 years old),Female,Normal,None,hmdb_metabolites-37
194,13.0 (5.0-21.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
195,15.2 +/- 2.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
196,<12.828,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
197,<12,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-38
198,<3.4,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-38
199,3-21,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-38
200,<20,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-38
201,8.0 +/- 0.9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
202,310.265 +/- 65.850,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-38
203,6.842-20.525,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-38
204,5.131-17.104,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
205,5.10-18.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
206,<17,Children (1 - 13 years old),,Normal,None,hmdb_metabolites-38
207,8.500 +/- 4,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-38
208,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-38
209,3.0 (1.3-20.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-40
210,3.8 +/- 2.9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-40
211,1.76 +/- 0.74,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-40
212,3.0 +/- 0.85,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-40
213,3.00 +/- 0.85,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-40
214,1.76 +/- 0.74,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-40
215,3.0 +/- 0.85,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-40
216,1.76 +/- 0.74,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-40
217,0.0085 +/- 0.0005,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-41
218,21.0 (0.0-86.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-42
219,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-42
220,37.75(25.96),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-42
221,30-1400,Not Specified,Not Specified,Normal,None,hmdb_metabolites-42
222,0.0-86.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-42
223,<150,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-42
224,20-90,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-42
225,40.6 +/- 36.5,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-42
226,29.74 +/- 7.55,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
227,25-88,Not Specified,Not Specified,Normal,None,hmdb_metabolites-44
228,28.500-109,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-44
229,25.4-54.1,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-44
230,40-60,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-44
231,26-66,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-44
232,28-47,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-44
233,26-66,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-44
234,37-58,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-44
235,50 +/- 30,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-44
236,>25,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-44
237,26-70,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-44
238,33.6 +/- 6.2,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-44
239,38.2 +/- 5.4,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-44
240,15.5 (13.2-17.7),Newborn (0-30 days old),,Normal,None,hmdb_metabolites-44
241,16.28 +/- 8.41,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-44
242,14.60 +/- 5.43,Children (1-13 years old),Both,Normal,None,hmdb_metabolites-44
243,43.0 (26.0-79.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
244,41.2 (35.5-47.5),Infant (0-1 year old),,Normal,None,hmdb_metabolites-44
245,43.57(9.97),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
246,39.33(13.25),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
247,40.430 +/- 3.650,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-44
248,19.0-65.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
249,35-75,Not Specified,Not Specified,Normal,None,hmdb_metabolites-44
250,35.3 +/- 7.0,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
251,45.7 +/- 11.6,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-44
252,0.287 +/- 0.099,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-45
253,0.0130-0.340,Newborn (2 - <15 days old),Both,Normal,None,hmdb_metabolites-45
254,0.014-0.46,Infant (15 days - <1 year old),Both,Normal,None,hmdb_metabolites-45
255,0.048-0.30,Children (1 - <9 years old),Both,Normal,None,hmdb_metabolites-45
256,0.060-0.35,Children (9 - <14 years old),Both,Normal,None,hmdb_metabolites-45
257,0.077-0.45,Adolescent (14 - <17 years old),Both,Normal,None,hmdb_metabolites-45
258,0.097-0.51,Adolescent (17 - <19 years old),Both,Normal,None,hmdb_metabolites-45
259,0.150-0.650,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-45
260,0.028-0.634,Newborn (0-30 days old),Male,Normal,None,hmdb_metabolites-45
261,0.32 +/- 0.19,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-45
262,0.221-0.690,Not Specified,Not Specified,Normal,None,hmdb_metabolites-45
263,,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-45
264,0.199 (0.058-0.475),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
265,0.359 (0.130-0.519),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
266,0.171 +/- 0.0662,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-45
267,0.427 (0.110-0.744),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
268,0.386 (0.100-0.671),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
269,0.348 (0.090-0.605),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
270,0.313 (0.081-0.545),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
271,0.282 (0.073-0.491),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
272,0.255 (0.066-0.443),Infant (0-1 year old),Both,Normal,None,hmdb_metabolites-45
273,0.171-0.538,Not Specified,Not Specified,Normal,None,hmdb_metabolites-45
274,0083-0.635,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-45
275,0.07-0.55,Children (1 - 13 years old),Both,Normal,None,hmdb_metabolites-45
276,0.138-0.690,Not Specified,Not Specified,Normal,None,hmdb_metabolites-45
277,0.46 +/- 0.30,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-45
278,0.260-0.719,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-45
279,0.14 (0.0-0.28),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-45
280,54.8 +/-  21.0,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-46
281,87 +/- 19,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-46
282,30.1 +/- 12.3,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-46
283,10-44,Not Specified,Not Specified,Normal,None,hmdb_metabolites-46
284,30-80,Not Specified,Not Specified,Normal,None,hmdb_metabolites-46
285,5-50,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-46
286,17-109,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-46
287,84.0 +/- 23.2,Newborn (0-30 days old),Not Specified,Normal,None,hmdb_metabolites-46
288,53.0 (17.0 - 82.0),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-46
289,32.22 +/- 16.42,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-46
290,74.0458 +/- 25.191,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-46
291,50.77(21.53),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-46
292,33.8-75.8,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-46
293,36.7 +/- 28.3,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-46
294,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-46
295,,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-46
296,,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-46
297,>6207.108,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
298,<4400,Not Specified,Not Specified,Normal,None,hmdb_metabolites-47
299,1189.70-3232.87,Newborn (0 - <14 days old),Female,Normal,None,hmdb_metabolites-47
300,1655.23-6129.52,Infant (15 days - <1 year old),Both,Normal,None,hmdb_metabolites-47
301,2896.65-5379.49,Children (1 - <19 years old),Both,Normal,None,hmdb_metabolites-47
302,1086.24-2819.062,Newborn (0 - <14 days old),Male,Normal,None,hmdb_metabolites-47
303,5700.0 (4500.0-6700.0),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
304,3801.854 (2870.787-4732.920),Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-47
305,3620.813-4551.879,Adolescent (13-18 years old),Not Specified,Normal,None,hmdb_metabolites-47
306,<5172.590,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-47
307,<5172.590,Infant (0-1 year old),Not Specified,Normal,None,hmdb_metabolites-47
308,,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
309,3900-6500,Adult (>18 years old),Not Specified,Normal,None,hmdb_metabolites-47
310,4409.633 +/- 788.820,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
311,3760 +/- 98,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
312,820 +/- 9,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
313,4750 (4220-5230),Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
314,1920 +/- 1290,Children (1-13 years old),Male,Normal,None,hmdb_metabolites-47
315,3080-5400,Children (1-13 years old),Not Specified,Normal,None,hmdb_metabolites-47
316,0-5193.280,Adult (>18 years old),Both,Normal,None,hmdb_metabolites-47
317,0.0-5200,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-47
318,0.0-5200,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-47
319,4850 +/- 1020,Adult (>18 years old),Male,Normal,None,hmdb_metabolites-47
320,4960 +/- 1170,Adult (>18 years old),Female,Normal,None,hmdb_metabolites-47
321,3879.442 +/- 905.203,Children (1 - 13 years old),Female,Normal,None,hmdb_metabolites-47
