,Value(uM),Subject Age,Subject Sex,Subject Information
168,35.0 (20.0 - 58.0),Adult (>18 years old),Male,Normal
169,29.0 (17.0 - 51.0),Adult (>18 years old),Female,Normal
170,1467.955 (763.336-2231.291),Children (1 - 13 years old),Not Specified,Normal
171,9-33,Adolescent (13-18 years old),Male,Normal
172,<2,Infant (0-1 year old),Male,Normal
173,0-5,Newborn (0-30 days old),Both,Normal
174,0-5,Infant (1 - 3 months old),Both,Normal
175,0-5,Children (3 months - 6 years old),Both,Normal
176,0-5,Children (6 - 18 years old),Both,Normal
177,0-1,Children (1 - 13 years old),Both,Normal
178,0.000698,Newborn (0-30 days old),Female,Normal
179,0.00244-0.00768,Not Specified,Not Specified,Normal
180,<0.0140,Infant (0-1 year old),Not Specified,Normal
181,0.00489 +/- 0.00196,Adult (>18 years old),Female,Normal
182,0.0059 (0.0023-0.0094),Adult (>18 years old),Both,Normal
183,0.00315 (0.00000-0.00630),Adult (>18 years old),Female,Normal
184,,Adult (>18 years old),Male,Normal
185,0.00524 +/- 0.00140,Adult (>18 years old),Female,Normal
186,0.000978-0.00803,Adult (>18 years old),Both,Normal
187,0.00061 +/- 0.00022,Adult (>18 years old),Female,Normal
188,<0.00100,Not Specified,Both,Normal
189,0.0022 (0.0010-0.0034),Children (1-13 years old),Both,Normal
190,0.005 (0.0024-0.0070),Adolescent (13-18 years old),Female,Normal
191,0.0040 (0.0013-0.0066),Children (1-13 years old),Female,Normal
192,0.001 (0.00034-0.00170),Children (1-13 years old),Female,Normal
193,0.0057 (0.00069-0.01),Adult (>18 years old),Female,Normal
194,13.0 (5.0-21.0),Adult (>18 years old),Both,Normal
195,15.2 +/- 2.0,Adult (>18 years old),Both,Normal
196,<12.828,Adult (>18 years old),Both,Normal
197,<12,Newborn (0-30 days old),Not Specified,Normal
198,<3.4,Children (1-13 years old),Not Specified,Normal
199,3-21,Newborn (0-30 days old),Not Specified,Normal
200,<20,Children (1-13 years old),Not Specified,Normal
201,8.0 +/- 0.9,Adult (>18 years old),Both,Normal
202,310.265 +/- 65.850,Newborn (0-30 days old),Not Specified,Normal
203,6.842-20.525,Children (1-13 years old),Not Specified,Normal
204,5.131-17.104,Adult (>18 years old),Both,Normal
205,5.10-18.0,Adult (>18 years old),Both,Normal
206,<17,Children (1 - 13 years old),,Normal
207,8.500 +/- 4,Adult (>18 years old),Not Specified,Normal
208,,Adult (>18 years old),Both,Normal
209,3.0 (1.3-20.0),Adult (>18 years old),Both,Normal
210,3.8 +/- 2.9,Adult (>18 years old),Both,Normal
211,1.76 +/- 0.74,Adult (>18 years old),Female,Normal
212,3.0 +/- 0.85,Adult (>18 years old),Male,Normal
213,3.00 +/- 0.85,Adult (>18 years old),Male,Normal
214,1.76 +/- 0.74,Adult (>18 years old),Female,Normal
215,3.0 +/- 0.85,Adult (>18 years old),Male,Normal
216,1.76 +/- 0.74,Adult (>18 years old),Female,Normal
217,0.0085 +/- 0.0005,Adult (>18 years old),Both,Normal
218,21.0 (0.0-86.0),Adult (>18 years old),Both,Normal
219,,Adult (>18 years old),Both,Normal
220,37.75(25.96),Adult (>18 years old),Both,Normal
221,30-1400,Not Specified,Not Specified,Normal
222,0.0-86.0,Adult (>18 years old),Both,Normal
223,<150,Infant (0-1 year old),Not Specified,Normal
224,20-90,Infant (0-1 year old),Not Specified,Normal
225,40.6 +/- 36.5,Adult (>18 years old),Both,Normal
226,29.74 +/- 7.55,Adult (>18 years old),Both,Normal
227,25-88,Not Specified,Not Specified,Normal
228,28.500-109,Infant (0-1 year old),Not Specified,Normal
229,25.4-54.1,Adult (>18 years old),Female,Normal
230,40-60,Infant (0-1 year old),Not Specified,Normal
231,26-66,Infant (0-1 year old),Not Specified,Normal
232,28-47,Infant (0-1 year old),Not Specified,Normal
233,26-66,Children (1-13 years old),Not Specified,Normal
234,37-58,Infant (0-1 year old),Not Specified,Normal
235,50 +/- 30,Children (1-13 years old),Not Specified,Normal
236,>25,Infant (0-1 year old),Not Specified,Normal
237,26-70,Children (1-13 years old),Not Specified,Normal
238,33.6 +/- 6.2,Children (1-13 years old),Both,Normal
239,38.2 +/- 5.4,Adult (>18 years old),Female,Normal
240,15.5 (13.2-17.7),Newborn (0-30 days old),,Normal
241,16.28 +/- 8.41,Children (1-13 years old),Both,Normal
242,14.60 +/- 5.43,Children (1-13 years old),Both,Normal
243,43.0 (26.0-79.0),Adult (>18 years old),Both,Normal
244,41.2 (35.5-47.5),Infant (0-1 year old),,Normal
245,43.57(9.97),Adult (>18 years old),Both,Normal
246,39.33(13.25),Adult (>18 years old),Both,Normal
247,40.430 +/- 3.650,Children (1-13 years old),Not Specified,Normal
248,19.0-65.0,Adult (>18 years old),Both,Normal
249,35-75,Not Specified,Not Specified,Normal
250,35.3 +/- 7.0,Adult (>18 years old),Both,Normal
251,45.7 +/- 11.6,Adult (>18 years old),Both,Normal
252,0.287 +/- 0.099,Adult (>18 years old),Both,Normal
253,0.0130-0.340,Newborn (2 - <15 days old),Both,Normal
254,0.014-0.46,Infant (15 days - <1 year old),Both,Normal
255,0.048-0.30,Children (1 - <9 years old),Both,Normal
256,0.060-0.35,Children (9 - <14 years old),Both,Normal
257,0.077-0.45,Adolescent (14 - <17 years old),Both,Normal
258,0.097-0.51,Adolescent (17 - <19 years old),Both,Normal
259,0.150-0.650,Adult (>18 years old),Not Specified,Normal
260,0.028-0.634,Newborn (0-30 days old),Male,Normal
261,0.32 +/- 0.19,Adult (>18 years old),Both,Normal
262,0.221-0.690,Not Specified,Not Specified,Normal
263,,Adult (>18 years old),Male,Normal
264,0.199 (0.058-0.475),Infant (0-1 year old),Both,Normal
265,0.359 (0.130-0.519),Infant (0-1 year old),Both,Normal
266,0.171 +/- 0.0662,Adult (>18 years old),Female,Normal
267,0.427 (0.110-0.744),Infant (0-1 year old),Both,Normal
268,0.386 (0.100-0.671),Infant (0-1 year old),Both,Normal
269,0.348 (0.090-0.605),Infant (0-1 year old),Both,Normal
270,0.313 (0.081-0.545),Infant (0-1 year old),Both,Normal
271,0.282 (0.073-0.491),Infant (0-1 year old),Both,Normal
272,0.255 (0.066-0.443),Infant (0-1 year old),Both,Normal
273,0.171-0.538,Not Specified,Not Specified,Normal
274,0083-0.635,Infant (0-1 year old),Not Specified,Normal
275,0.07-0.55,Children (1 - 13 years old),Both,Normal
276,0.138-0.690,Not Specified,Not Specified,Normal
277,0.46 +/- 0.30,Adult (>18 years old),Both,Normal
278,0.260-0.719,Adult (>18 years old),Not Specified,Normal
279,0.14 (0.0-0.28),Adult (>18 years old),Both,Normal
280,54.8 +/-  21.0,Adult (>18 years old),Female,Normal
281,87 +/- 19,Adult (>18 years old),Not Specified,Normal
282,30.1 +/- 12.3,Adult (>18 years old),Male,Normal
283,10-44,Not Specified,Not Specified,Normal
284,30-80,Not Specified,Not Specified,Normal
285,5-50,Children (1-13 years old),Not Specified,Normal
286,17-109,Children (1-13 years old),Not Specified,Normal
287,84.0 +/- 23.2,Newborn (0-30 days old),Not Specified,Normal
288,53.0 (17.0 - 82.0),Children (1-13 years old),Not Specified,Normal
289,32.22 +/- 16.42,Adult (>18 years old),Both,Normal
290,74.0458 +/- 25.191,Adult (>18 years old),Both,Normal
291,50.77(21.53),Adult (>18 years old),Both,Normal
292,33.8-75.8,Adult (>18 years old),Both,Normal
293,36.7 +/- 28.3,Adult (>18 years old),Both,Normal
294,,Adult (>18 years old),Female,Normal
295,,Adult (>18 years old),Female,Normal
296,,Children (1-13 years old),Male,Normal
297,>6207.108,Adult (>18 years old),Both,Normal
298,<4400,Not Specified,Not Specified,Normal
299,1189.70-3232.87,Newborn (0 - <14 days old),Female,Normal
300,1655.23-6129.52,Infant (15 days - <1 year old),Both,Normal
301,2896.65-5379.49,Children (1 - <19 years old),Both,Normal
302,1086.24-2819.062,Newborn (0 - <14 days old),Male,Normal
303,5700.0 (4500.0-6700.0),Adult (>18 years old),Both,Normal
304,3801.854 (2870.787-4732.920),Children (1-13 years old),Not Specified,Normal
305,3620.813-4551.879,Adolescent (13-18 years old),Not Specified,Normal
306,<5172.590,Children (1-13 years old),Not Specified,Normal
307,<5172.590,Infant (0-1 year old),Not Specified,Normal
308,,Adult (>18 years old),Both,Normal
309,3900-6500,Adult (>18 years old),Not Specified,Normal
310,4409.633 +/- 788.820,Adult (>18 years old),Both,Normal
311,3760 +/- 98,Adult (>18 years old),Both,Normal
312,820 +/- 9,Adult (>18 years old),Both,Normal
313,4750 (4220-5230),Adult (>18 years old),Both,Normal
314,1920 +/- 1290,Children (1-13 years old),Male,Normal
315,3080-5400,Children (1-13 years old),Not Specified,Normal
316,0-5193.280,Adult (>18 years old),Both,Normal
317,0.0-5200,Adult (>18 years old),Female,Normal
318,0.0-5200,Adult (>18 years old),Male,Normal
319,4850 +/- 1020,Adult (>18 years old),Male,Normal
320,4960 +/- 1170,Adult (>18 years old),Female,Normal
321,3879.442 +/- 905.203,Children (1 - 13 years old),Female,Normal
322,4008.757 +/- 750.0255,Children (1 - 13 years old),Male,Normal
323,1230 +/- 250,Adult (>18 years old),,Normal
324,430-610,Adult (>18 years old),Male,Normal
325,390-570,Adult (>18 years old),Female,Normal
326,,Adult (>18 years old),Both,Normal
327,5000.0 (4500.0-5500.0),Adult (>18 years old),Both,Normal
328,0.00164 +/- 0.00012,Adult (>18 years old),Both,Normal
329,0.00029 +/- 0.000021,Adult (>18 years old),Female,Normal
330,0.00072 (0.00049-0.0013),Adult (>18 years old),Male,Normal
331,0.0003 +/- 0.00003,Adult (>18 years old),Male,Normal
332,2.46 +/- 1.26,Adult (>18 years old),Both,Normal
333,0-5,Newborn (0-30 days old),Both,Normal
334,0-5,Infant (1 - 3 months old),Both,Normal
335,5.73 (3.75 - 10.8),Newborn (0-30 days old),Both,Normal
336,0-10,Children (3 months - 6 years old),Both,Normal
337,0-10,Children (6 - 18 years old),Both,Normal
338,1.46 (0.70-2.46),Newborn (0-30 days old),Both,Normal
339,<4,Children (1-13 years old),Not Specified,Normal
340,2.0 +/- 0.8,Infant (0-1 year old),Not Specified,Normal
341,0.4-4.9,Infant (0-1 year old),Not Specified,Normal
342,<2.323,Children (1 - 13 years old),Male,Normal
343,<3,Children (1 - 13 years old),Male,Normal
344,0.540-2.460,Newborn (0-30 days old),Both,Normal
345,0.774-54.198,Children (1-13 years old),Both,Normal
346,,Adult (>18 years old),Both,Normal
347,10.0 (0.0-20.0),Children (1-13 years old),Both,Normal
348,1.20 +/- 0.11,Adult (>18 years old),Both,Normal
349,,Adult (>18 years old),Female,Normal
350,,,,Normal
351,< 0.00013,Adult (>18 years old),Both,Normal
352,0.00000-0.00013,Adult (>18 years old),Both,Normal
353,0.31 (0.02-1.63),Adult (>18 years old),Female,Normal
354,0.31 (0.02-1.63),Adult (>18 years old),Both,Normal
355,0.32 ( 0.10-0.74),Adult (>18 years old),Male,Normal
356,0.00173-0.0264,Newborn (0-30 days old),Female,Normal
357,0.00225-0.0433,Newborn (0-30 days old),Female,Normal
358,0.020 +/- 0.011,Adult (>18 years old),Male,Normal
359,0.0153 +/- 0.00763,Adult (>18 years old),Female,Normal
360,0.001 (0.00034-0.0017),Children (1-13 years old),Female,Normal
361,0.0087 (0.0035-0.013),Adult (>18 years old),Female,Normal
362,0.0146 +/- 0.00451,Adult (>18 years old),Female,Normal
363,0.023 (0.005-0.042),Adult (>18 years old),Both,Normal
364,0.000700-0.0204,Infant (0-1 year old),Not Specified,Normal
365,0.00295 +/- 0.00319,Children (1-13 years old),Both,Normal
366,65.7 +/- 4.6,Adult (>18 years old),Male,Normal
367,13.6 +/- 3.6,Adult (>18 years old),Both,Normal
368,51.7 +/- 1.7,Infant (0-1 year old),Male,Normal
369,63.4 +/- 7.4,Children (1-13 years old),Male,Normal
370,54.0 +/- 18.8,Adolescent (13-18 years old),Male,Normal
371,56.0 +/- 7.0,Children (1-13 years old),Female,Normal
372,51.8 +/- 4.9,Infant (0-1 year old),Female,Normal
373,57.5 +/- 5.9,Adolescent (13-18 years old),Female,Normal
374,53.2 +/- 7.7,Adult (>18 years old),Female,Normal
375,,,,Normal
376,0,Children (1 - 13 years old),Both,Normal
377,,Adult (>18 years old),Both,Normal
378,34.0 +/- 5.0,Infant (0-1 year old),Both,Normal
379,40.0 +/- 4.0,Newborn (0-30 days old),Both,Normal
380,29.0 +/- 5.0,Infant (0-1 year old),Both,Normal
381,33.0 +/- 4.0,Adult (>18 years old),Female,Normal
382,20.18 (3.33-53.22),Adult (>18 years old),Both,Normal
383,1.43 +/- 0.23,Adult (>18 years old),Female,Normal
384,3.3 +/- 1.5,Adult (>18 years old),Both,Normal
385,48.36 +/- 7.32,Adult (>18 years old),Both,Normal
386,0.25 +/- 0.19,Adult (>18 years old),Both,Normal
387,<2,Children (3 months - 6 years old),Not Specified,Normal
388,0.1,Adult (>18 years old),Both,Normal
389,1-5,Adult (>18 years old),Not Specified,Normal
390,<3.700,Adult (>18 years old),Both,Normal
391,2.6 (1.8-3.7),Adult (>18 years old),Both,Normal
392,1.9 (1.1-3.4),Adult (>18 years old),Both,Normal
393,,Adult (>18 years old),Both,Normal
394,54.2 +/- 0.8,Children (1-13 years old),Both,Normal
395,190.0 (30.0-400.0),Adult (>18 years old),Both,Normal
396,88.0 +/- 33.0,Adult (>18 years old),Both,Normal
397,122.0 +/- 30.0,Children (1-13 years old),Both,Normal
398,40-160,Not Specified,Not Specified,Normal
399,122.3(27.85),Adult (>18 years old),Both,Normal
400,30.00-400.0,Adult (>18 years old),Both,Normal
401,,Adult (>18 years old),Both,Normal
402,114.2 +/- 27,Adult (>18 years old),Both,Normal
403,6.0 +/- 0.3,Adult (>18 years old),Male,Normal
404,27.5 +/- 3.3,Newborn (0-30 days old),Both,Normal
405,10.6 +/- 1.9,Adult (>18 years old),Both,Normal
406,6.8 +/- 0.3,Adult (>18 years old),Female,Normal
407,8.70-19.8,Adult (>18 years old),Both,Normal
408,14.5 +/- 5.3,Adult (>18 years old),Both,Normal
409,3088.7 +/- 527.9,Adult (>18 years old),Not Specified,Normal
410,1797.5 +/- 328.2,Adult (>18 years old),Not Specified,Normal
411,1797.33 (1458.74 - 2357.96),,,Normal
412,0.329 (0.150-0.661),Adult (>18 years old),Both,Normal
413,0.0440-0.342,Adult (>18 years old),Not Specified,Normal
414,0.17 (0.1 – 0.27),Children (1-13 years old),Both,Normal
415,1.0 (0.3-5.5),Newborn (0-30 days old),Both,Normal
416,0.126 (0.065 - 0.301),Adult (>18 years old),Both,Normal
417,,,,Normal
418,0.82 (0.05 - 2.63),Adult (>18 years old),Both,Normal
419,0.36 (0.23-0.48),Adult (>18 years old),Both,Normal
420,40.0 (0.0-80.0),Adult (>18 years old),Both,Normal
421,15.0 (0.0-33.0),Adult (>18 years old),Both,Normal
422,0.00-33.0,Adult (>18 years old),Both,Normal
423,0.110 +/- 0.023,Adult (>18 years old),Both,Normal
424,0.120-0.500,Children (1 - 13 years old),Both,Normal
425,50-123,Adolescent (13-18 years old),Female,Normal
426,34,Adult (>18 years old),Female,Normal
427,7.9 +/- 2.4,Adult (>18 years old),Both,Normal
428,7.8 +/- 1.7,Adult (>18 years old),Both,Normal
429,0.082 +/- 0.050,Adult (>18 years old),Both,Normal
430,0.048 +/- 0.009,Adult (>18 years old),Male,Normal
431,0.03 +/- 0.006,Adult (>18 years old),Male,Normal
432,0.047 +/- 0.01,Adult (>18 years old),Male,Normal
433,0.078 +/- 0.029,Adult (>18 years old),Male,Normal
434,0.029 +/- 0.045,Adult (>18 years old),Male,Normal
435,0.027 +/- 0.004,Adult (>18 years old),Male,Normal
436,0.029 +/- 0.005,Adult (>18 years old),Male,Normal
437,0.166 +/- 0.147,Adult (>18 years old),Male,Normal
438,3.05 (0.25–12.78),Adult (>18 years old),Male,Normal
439,0.021 (0.017-0.025),Adult (>18 years old),Both,Normal
440,0.0295-0.0340,Infant (0-1 year old),Not Specified,Normal
441,0.00544-0.0272,Infant (0-1 year old),Not Specified,Normal
442,0.039 (0.01 - 0.14),Newborn (0-30 days old),Not Specified,Normal
443,0.011 (0.004 - 0.028),Children (1-13 years old),Not Specified,Normal
444,0.009 (0.0024 - 0.024),Adult (>18 years old),Not Specified,Normal
445,0.024,Infant (5 days - <1 year old),Both,Normal
446,0.0088,Children (1 - <3 years old),Both,Normal
447,0.027,Children (3 - <6 years old),Both,Normal
448,0.0297,Children (6 - <8 years old),Both,Normal
449,0.0258,Children (8 - <12 years old),Both,Normal
450,0.027,Adolescent (12 - <14 years old),Both,Normal
451,0.0179,Adolescent (14 - <19 years old,Both,Normal
452,0.00400-0.0150,Adult (>18 years old),Not Specified,Normal
453,0.016 +/- 0.0049,Adult (>18 years old),Both,Normal
454,0.02 (0.011- 0.036),Adult (>18 years old),Both,Normal
455,0.009 (0.0026-0.026),Adult (>18 years old),Female,Normal
456,0.023 (0.002-0.045),Children (1-13 years old),Both,Normal
457,3100-5600,Not Specified,Not Specified,Normal
458,3890-5550,Not Specified,Not Specified,Normal
459,4860 (4670-5190),Adult (>18 years old),Both,Normal
460,3300-6900,Children (1-13 years old),Not Specified,Normal
461,5000 +/- 600,Adult (>18 years old),Both,Normal
462,4200-6300,Newborn (0-30 days old),Not Specified,Normal
463,3500-6000,Children (1-13 years old),Not Specified,Normal
464,5350.0 +/- 120.0,Adult (>18 years old),Both,Normal
465,5400.0 (4700.0 - 6100.0),Adult (>18 years old),Both,Normal
466,3300-5600,Not Specified,Not Specified,Normal
467,3885.524-6105.823,Children (1-13 years old),Not Specified,Normal
468,4163.0610-6383.360,Infant (0-1 year old),Not Specified,Normal
469,<5994.808,Adult (>18 years old),Not Specified,Normal
470,2800-5000,Not Specified,Not Specified,Normal
471,3885.524-6105.823,Not Specified,Not Specified,Normal
472,5181.0 +/- 394.0,Adult (>18 years old),Both,Normal
473,4380 +/-275,Children (1-13 years old),Both,Normal
474,4500 +/- 1000,Adult (>18 years old),Both,Normal
