,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
68,1400.0 +/- 100.0,Adult (>18 years old),Both,Diabetes,Without diabetic ketoacidosis,hmdb_metabolites-06
69,7700.0 +/- 200.0,Adult (>18 years old),Both,Diabetes,With diabetic ketoacidosis,hmdb_metabolites-06
70,5700 (4300-6000),Adult (>18 years old),Both,Diabetic ketoacidosis,With diabetic ketoacidosis,hmdb_metabolites-06
71,20-50,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.,hmdb_metabolites-06
72,20,Adult (>18 years old),Male,Thymidine phosphorylase deficiency,None,hmdb_metabolites-07
73,1.3,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency,None,hmdb_metabolites-09
74,1.84,Infant (0-1 year old),Female,11-beta-hydroxylase deficiency,None,hmdb_metabolites-09
75,0.00790-0.329,Children (1-13 years old),Both,11-beta-hydroxylase deficiency,None,hmdb_metabolites-09
76,0.00118,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly higher than normal, but no p value",hmdb_metabolites-10
77,,Adult (>18 years old),Both,Colorectal adenoma ,With vitamin supplements,hmdb_metabolites-11
78,10.7 +/- 5.5,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-12
79,237,Children (1-13 years old),Female,Maple syrup urine disease,n=1. While patient was in coma.,hmdb_metabolites-12
80,,Adult (>18 years old),Female,Breast cancer,By GC-MS ,hmdb_metabolites-13
81,0.00032 +/- 0.00008,Adult (>18 years old),Both,Athyroic patients ,None,hmdb_metabolites-14
82,38.0 +/- 5.0,Adult (>18 years old),Both,Diabetes ,"Concentration refers to racemic mixture
",hmdb_metabolites-16
83,0.16 (0.0-5.8),Adult (>18 years old),Both,Septic shock,"Without renal failure, measured in plasma
",hmdb_metabolites-19
84,1.2 (0.8-14.9),Adult (>18 years old),Both,Septic shock,"With renal failure, measured in plasma
",hmdb_metabolites-19
85,0.0099 +/- 0.0008,Adult (>18 years old),Both,Smoking,"With renal failure, measured in plasma
",hmdb_metabolites-19
86,0.0044 +/- 0.0007,Adult (>18 years old),Both,Myocardial infarction,"In plasma, acute myocardial infarction
",hmdb_metabolites-19
87,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS,hmdb_metabolites-21
88,0.21,Children (1-13 years old),Male,Lathosterolosis,None,hmdb_metabolites-22
89,369.0 (46.0 - 1220.0),Adult (>18 years old),Both,Smith-Lemli-Opitz syndrome,None,hmdb_metabolites-22
90,3.28 +/- 0.91,Elderly (>65 years old),Both,Alzheimer's disease,None,hmdb_metabolites-23
91,0.5 +/- 0.3,Adult (>18 years old),Both,Solid tumors,None,hmdb_metabolites-24
92,9.8 +/- 1.9,Infant (0-1 year old),Both,GI disorder,Before fish oil treatment. n=14,hmdb_metabolites-25
93,5.6 +/- 1.6,Infant (0-1 year old),Both,GI disorder,2 weeks after fish oil treatment. n=14,hmdb_metabolites-25
94,1.2 +/- 0.5,Infant (0-1 year old),Both,GI disorder,3 months after fish oil treatment. n=14,hmdb_metabolites-25
95,0.2 +/- 0.1,Infant (0-1 year old),Both,GI disorder,6 months after fish oil treatment. n=14,hmdb_metabolites-25
96,0.8(0.3-2.7),Infant (0-1 year old),Both,Severe acute malnutrition,mean (IQR). n=22. p=0.09 (vs control),hmdb_metabolites-25
97,,Adult (>18 years old),Both,Hepatocellular carcinoma ,By LC-MS/MS ,hmdb_metabolites-25
98,,Adult (>18 years old),Both,Liver Cirrhosis,By LC-MS/MS ,hmdb_metabolites-25
99,0.0416,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",None,hmdb_metabolites-26
100,0.0204-0.0735,Children (1-13 years old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",None,hmdb_metabolites-26
101,0.0013,Adolescent (13-18 years old),Female,"Renal tubular acidosis, proximal, with ocular abnormalities and mental retardation",None,hmdb_metabolites-26
102,0.00041 +/- 0.00005,Adult (>18 years old),Both,Heart failure,"In plasma after 8 days of low-salt intake
",hmdb_metabolites-26
103,>0.00333,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal","In plasma after 8 days of low-salt intake
",hmdb_metabolites-26
104,0.000145-0.00499,Infant (0-1 year old),Both,Congenital chloride diarrhea,"In plasma after 8 days of low-salt intake
",hmdb_metabolites-26
105,0.0000777,Infant (0-1 year old),Female,Corticosterone methyloxidase I deficiency- CMO I,"In plasma after 8 days of low-salt intake
",hmdb_metabolites-26
106,0.000011,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly higher than normal, but no p value",hmdb_metabolites-26
107,<0.000069,Adult (>18 years old),Male,Glucocorticoid resistance,"n=1. Significantly higher than normal, but no p value",hmdb_metabolites-26
108,<0.000069,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia,"n=1. Significantly higher than normal, but no p value",hmdb_metabolites-26
109,0.000454,Infant (0-1 year old),Not Specified,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1,hmdb_metabolites-26
110,>0.00415,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1,hmdb_metabolites-26
111,0.000233 +/- 0.000040,Adult (>18 years old),Both,Heart failure,"In plasma after 8 days of normal-salt intake
",hmdb_metabolites-26
112,0.00361,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 1, Antenatal",n=1,hmdb_metabolites-26
113,0.00155,Adult (>18 years old),Male,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1,hmdb_metabolites-26
114,0.000128,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1,hmdb_metabolites-26
115,0.0635 +/- 0.0041,Adult (>18 years old),Both,Kidney disease,"Chronic renal failure, undergoing hemodialysis, measured in plasma
",hmdb_metabolites-27
116,42.2 +/- 17.3,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-29
117,28.26 +/- 12.83 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
118,22.9 +/- 31.703 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
119,17.9 (6.0) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
120,48.4 (50.4),Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
121,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
122,25.69 (7.99) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
123,29.85 (8.26) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
124,80.6 (101.5) ,Adult (>18 years old),Female,Late-onset preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
125,48.55(36.76),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
126,49.1 (52.5) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
127,27.5 (17.6) ,Adult (>18 years old),Female,Down syndrome pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
128,30.1 (22.6) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-29
129,42.1 +/- 19.3,Adult (>18 years old),Both,Heart Transplant,None,hmdb_metabolites-30
130,211,Children (1-13 years old),Male,Hypermethioninemia,None,hmdb_metabolites-30
131,129,Adult (>18 years old),Male,Dimethylglycinuria,None,hmdb_metabolites-30
132,32.5 (23.9-42.5),Adult (>18 years old),Both,Chronic renal failure,None,hmdb_metabolites-30
133,25.6 (23.4-36.6),Adult (>18 years old),Both,Continuous ambulatory peritoneal dialysis (CAPD),None,hmdb_metabolites-30
134,31.9 (28.3-36.2),Adult (>18 years old),Both,Hemodialysis,None,hmdb_metabolites-30
135,26.51 +/- 11.92 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-30
136,25.27 +/- 10.03 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-30
137,29.2 (6.9) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-30
138,25.8 (8.8) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-30
139,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18,hmdb_metabolites-30
140,43.00 +/- 12.34,Adult (>18 years old),Both,Schizophrenia,Detected by CE-TOFMS,hmdb_metabolites-30
141,,Adult (>18 years old),Both,Pancreatic Cancer ,Detected by CE-TOFMS,hmdb_metabolites-30
142,21.99 (7.84) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Detected by CE-TOFMS,hmdb_metabolites-30
143,20.05 (8.39) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS,hmdb_metabolites-30
144,33.3 (23.6) ,Adult (>18 years old),Female,Late-onset preeclampsia,Detected by CE-TOFMS,hmdb_metabolites-30
145,62.92(17.18),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,Detected by CE-TOFMS,hmdb_metabolites-30
146,21.6 (9.4) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS,hmdb_metabolites-30
147,70.68(28.54),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,Detected by CE-TOFMS,hmdb_metabolites-30
148,25.4 (5.5) ,Adult (>18 years old),Female,Down syndrome pregnancy,Detected by CE-TOFMS,hmdb_metabolites-30
149,27.0 (8.9) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS,hmdb_metabolites-30
150,39.0 +/- 92.7,Adult (>18 years old),Both,Hyperoxalemia,"Patients with long-term hyperoxalemia (before hemodialysis)
",hmdb_metabolites-31
151,6.5 +/- 18.6,Adult (>18 years old),Both,Hyperoxalemia,"Patients with long-term hyperoxalemia (after 4-hour hemodialysis session)
",hmdb_metabolites-31
152,82.57 +/- 36.71,Adult (>18 years old),Both,Canavan disease,"Patients with long-term hyperoxalemia (after 4-hour hemodialysis session)
",hmdb_metabolites-31
153,0.126  +/-  0.018,Adult (>18 years old),Both,Septic shock,None,hmdb_metabolites-34
154,94,Children (1-13 years old),Male,Argininosuccinic aciduria (ASL),None,hmdb_metabolites-35
155,62,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL),None,hmdb_metabolites-35
156,52.846,Children (1-13 years old),Female,Dibasic Amino Aciduria I,None,hmdb_metabolites-35
157,75-92,Adolescent (13-18 years old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1,hmdb_metabolites-35
158,15.6 +/- 13.5,Children (1-13 years old),Female,Pearson Syndrome,Age is 9-23 months old,hmdb_metabolites-35
159,60-120,Children (1-13 years old),Both,"Cutis laxa, autosomal recessive, type IIIA",Age is 9-23 months old,hmdb_metabolites-35
160,111-122,Children (1-13 years old),Female,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",Age is 9-23 months old,hmdb_metabolites-35
161,140-503,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency,Age is 9-23 months old,hmdb_metabolites-35
162,70,Children (1-13 years old),,Pyruvate carboxylase deficiency,Age is 9-23 months old,hmdb_metabolites-35
163,1100.0 (200.0-2000.0),Children (1-13 years old),Both,Argininosuccinic aciduria (ASL),Age is 9-23 months old,hmdb_metabolites-35
164,61-164,Adult (>18 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=6,hmdb_metabolites-35
165,268,Infant (0-1 year old),,Pyruvate carboxylase deficiency,n=6,hmdb_metabolites-35
166,40-145,Children (1-13 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=7,hmdb_metabolites-35
167,234,Children (1-13 years old),Female,Carnitine palmitoyltransferase deficiency I,n=7,hmdb_metabolites-35
168,82-209,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2,n=7,hmdb_metabolites-35
169,65-145,Children (1-13 years old),Female,Cerebral creatine deficiency syndrome 2,n=7,hmdb_metabolites-35
170,66-86,Infant (0-1 year old),Female,Infantile Liver Failure Syndrome 2,n=7,hmdb_metabolites-35
171,138,Infant (0-1 year old),Female,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",n=7,hmdb_metabolites-35
172,338,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of",n=7,hmdb_metabolites-35
173,110-270,Newborn (0-30 days old),Male,Narp Syndrome,n=7,hmdb_metabolites-35
174,25-30,Children (1-13 years old),Both,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",n=7,hmdb_metabolites-35
175,146,Newborn (0-30 days old),Male,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",n=7,hmdb_metabolites-35
176,1.703-14.0336,Adult (>18 years old),Both,"Citrullinemia type II, adult-onset",n=7,hmdb_metabolites-35
177,49,Infant (0-1 year old),Male,Sulfite oxidase deficiency,n=1,hmdb_metabolites-35
178,13446.464-63415.637,Children (1 - 13 years old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1,hmdb_metabolites-35
179,139 - 299,Infant (0-1 year old),Male,Fumaric aciduria,n=1,hmdb_metabolites-35
180,231(96-780),Adult (>18 years old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1,hmdb_metabolites-35
181,27-246,Children (1-13 years old),Male,N-acetylglutamate synthetase deficiency,n=1,hmdb_metabolites-35
182,27.0104-572.502,Children (1 - 13 years old),Both,Citrullinemia Type I,n=1,hmdb_metabolites-35
183,85-835,Infant (0-1 year old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2,hmdb_metabolites-35
184,105-500,Newborn (0-30 days old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2,hmdb_metabolites-35
185,44-84,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=2,hmdb_metabolites-35
186,63,Newborn (0-30 days old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2,hmdb_metabolites-35
187,50.4 +/- 17.0,Adult (>18 years old),Both,Short bowel syndrome,n=2,hmdb_metabolites-35
188,>700,Adolescent (13-18 years old),Male,Mitochondrial complex I deficiency due to ACAD9 deficiency,n=2,hmdb_metabolites-35
189,252.488 +/- 46.387,Adult (>18 years old),Not Specified,adult-type citrullinemia,at 8 pm,hmdb_metabolites-35
190,70.462 +/- 22.313,Adult (>18 years old),Not Specified,adult-type citrullinemia,at 9 am,hmdb_metabolites-35
191,52.5 (25.0-80.0),Adult (>18 years old),Both,3-methyl-crotonyl-glycinuria,at 9 am,hmdb_metabolites-35
192,200.0 (100.0-300.0),Children (1-13 years old),Both,3-Methyl-Crotonyl-Glycinuria,at 9 am,hmdb_metabolites-35
193,1515,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL),None,hmdb_metabolites-36
194,300.0 (270.0-458.0),Children (1-13 years old),Female,Argininosuccinyl-CoA lyase deficiency,None,hmdb_metabolites-36
195,0.000698-0.0583,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",None,hmdb_metabolites-37
196,0.0066 +/- 0.0038,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS),"Measured in plasma, after pioglitazone treatment
",hmdb_metabolites-37
197,0.00663,Adolescent (13-18 years old),Female,21-hydroxylase deficiency,n=1,hmdb_metabolites-37
198,0-0.00244,Adult (>18 years old),Female,21-hydroxylase deficiency,n=2,hmdb_metabolites-37
199,0.517,Infant (0-1 year old),Both,"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency (CAH)","n=6. Significantly higher than normal, but no p value",hmdb_metabolites-37
200,0.00154-0.0174,Adult (>18 years old),Female,21-hydroxylase deficiency,"n=6. Significantly higher than normal, but no p value",hmdb_metabolites-37
