,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
52,27.0 (16.2) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
53,64,Infant (0-1 year old),Female,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1
54,100,Newborn (0-30 days old),Male,2-Ketoglutarate dehydrogenase complex deficiency,n=1
55,120-2000,Children (1-13 years old),Male,2-Ketoglutarate dehydrogenase complex deficiency,n=1
56,,Adult (>18 years old),Both,Pancreatic cancer,By NMR. Significantly decreased vs control.
57,33.63 (42.57) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,By NMR. Significantly decreased vs control.
58,30.15 (37.69) ,Adult (>18 years old),Female,Pregnancy,By NMR. Significantly decreased vs control.
59,29.61(44.27),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,By NMR. Significantly decreased vs control.
60,,Adult (>18 years old),Both,Schizophrenia,Detected by GC-TOFMS
61,49.9 (46.7) ,Adult (>18 years old),Female,Late-onset preeclampsia,Detected by GC-TOFMS
62,29.7 (19.1) ,Adult (>18 years old),Female,Pregnancy,Detected by GC-TOFMS
63,130 +/- 80,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Evening. With Dexamethasone and Hydrocortisone treatment, high dose."
64,300 +/- 390,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Evening. With Dexamethasone and Hydrocortisone treatment, standard dose."
65,300 +/- 200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Morning. With Dexamethasone and Hydrocortisone treatment, high dose."
66,250 +/- 160,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency","Morning. With Dexamethasone and Hydrocortisone treatment, standard dose."
67,,Adult (>18 years old),Both,By NMR. Significantly decreased vs control.,By NMR 
68,1400.0 +/- 100.0,Adult (>18 years old),Both,Diabetes,Without diabetic ketoacidosis
69,7700.0 +/- 200.0,Adult (>18 years old),Both,Diabetes,With diabetic ketoacidosis
70,5700 (4300-6000),Adult (>18 years old),Both,Diabetic ketoacidosis,With diabetic ketoacidosis
71,20-50,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency,During fasting.
72,20,Adult (>18 years old),Male,Thymidine phosphorylase deficiency,None
73,1.3,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency,None
74,1.84,Infant (0-1 year old),Female,11-beta-hydroxylase deficiency,None
75,0.00790-0.329,Children (1-13 years old),Both,11-beta-hydroxylase deficiency,None
76,0.00118,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly higher than normal, but no p value"
77,,Adult (>18 years old),Both,Colorectal adenoma ,With vitamin supplements
78,10.7 +/- 5.5,Adult (>18 years old),Both,Heart Transplant,None
79,237,Children (1-13 years old),Female,Maple syrup urine disease,n=1. While patient was in coma.
80,,Adult (>18 years old),Female,Breast cancer,By GC-MS 
81,0.00032 +/- 0.00008,Adult (>18 years old),Both,Athyroic patients ,None
82,38.0 +/- 5.0,Adult (>18 years old),Both,Diabetes ,"Concentration refers to racemic mixture
"
83,0.16 (0.0-5.8),Adult (>18 years old),Both,Septic shock,"Without renal failure, measured in plasma
"
84,1.2 (0.8-14.9),Adult (>18 years old),Both,Septic shock,"With renal failure, measured in plasma
"
85,0.0099 +/- 0.0008,Adult (>18 years old),Both,Smoking,"With renal failure, measured in plasma
"
86,0.0044 +/- 0.0007,Adult (>18 years old),Both,Myocardial infarction,"In plasma, acute myocardial infarction
"
87,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS
88,0.21,Children (1-13 years old),Male,Lathosterolosis,None
89,369.0 (46.0 - 1220.0),Adult (>18 years old),Both,Smith-Lemli-Opitz syndrome,None
90,3.28 +/- 0.91,Elderly (>65 years old),Both,Alzheimer's disease,None
91,0.5 +/- 0.3,Adult (>18 years old),Both,Solid tumors,None
92,9.8 +/- 1.9,Infant (0-1 year old),Both,GI disorder,Before fish oil treatment. n=14
93,5.6 +/- 1.6,Infant (0-1 year old),Both,GI disorder,2 weeks after fish oil treatment. n=14
94,1.2 +/- 0.5,Infant (0-1 year old),Both,GI disorder,3 months after fish oil treatment. n=14
95,0.2 +/- 0.1,Infant (0-1 year old),Both,GI disorder,6 months after fish oil treatment. n=14
96,0.8(0.3-2.7),Infant (0-1 year old),Both,Severe acute malnutrition,mean (IQR). n=22. p=0.09 (vs control)
97,,Adult (>18 years old),Both,Hepatocellular carcinoma ,By LC-MS/MS 
98,,Adult (>18 years old),Both,Liver Cirrhosis,By LC-MS/MS 
99,0.0416,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",None
100,0.0204-0.0735,Children (1-13 years old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness",None
101,0.0013,Adolescent (13-18 years old),Female,"Renal tubular acidosis, proximal, with ocular abnormalities and mental retardation",None
102,0.00041 +/- 0.00005,Adult (>18 years old),Both,Heart failure,"In plasma after 8 days of low-salt intake
"
103,>0.00333,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal","In plasma after 8 days of low-salt intake
"
104,0.000145-0.00499,Infant (0-1 year old),Both,Congenital chloride diarrhea,"In plasma after 8 days of low-salt intake
"
105,0.0000777,Infant (0-1 year old),Female,Corticosterone methyloxidase I deficiency- CMO I,"In plasma after 8 days of low-salt intake
"
106,0.000011,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency","n=1. Significantly higher than normal, but no p value"
107,<0.000069,Adult (>18 years old),Male,Glucocorticoid resistance,"n=1. Significantly higher than normal, but no p value"
108,<0.000069,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia,"n=1. Significantly higher than normal, but no p value"
109,0.000454,Infant (0-1 year old),Not Specified,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1
110,>0.00415,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1
111,0.000233 +/- 0.000040,Adult (>18 years old),Both,Heart failure,"In plasma after 8 days of normal-salt intake
"
112,0.00361,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 1, Antenatal",n=1
113,0.00155,Adult (>18 years old),Male,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness",n=1
114,0.000128,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
115,0.0635 +/- 0.0041,Adult (>18 years old),Both,Kidney disease,"Chronic renal failure, undergoing hemodialysis, measured in plasma
"
116,42.2 +/- 17.3,Adult (>18 years old),Both,Heart Transplant,None
117,28.26 +/- 12.83 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
118,22.9 +/- 31.703 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
119,17.9 (6.0) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
120,48.4 (50.4),Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
121,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
122,25.69 (7.99) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
123,29.85 (8.26) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
124,80.6 (101.5) ,Adult (>18 years old),Female,Late-onset preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
125,48.55(36.76),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
126,49.1 (52.5) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
127,27.5 (17.6) ,Adult (>18 years old),Female,Down syndrome pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
128,30.1 (22.6) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
129,42.1 +/- 19.3,Adult (>18 years old),Both,Heart Transplant,None
130,211,Children (1-13 years old),Male,Hypermethioninemia,None
131,129,Adult (>18 years old),Male,Dimethylglycinuria,None
132,32.5 (23.9-42.5),Adult (>18 years old),Both,Chronic renal failure,None
133,25.6 (23.4-36.6),Adult (>18 years old),Both,Continuous ambulatory peritoneal dialysis (CAPD),None
134,31.9 (28.3-36.2),Adult (>18 years old),Both,Hemodialysis,None
135,26.51 +/- 11.92 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
136,25.27 +/- 10.03 ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
137,29.2 (6.9) ,Adult (>18 years old),Female,Early preeclampsia,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
138,25.8 (8.8) ,Adult (>18 years old),Female,Pregnancy,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
139,,Adult (>18 years old),Both,Colorectal cancer,Pregnancies between 11 weeks and 13 weeks 6 daysâ€™ gestation with fetuses with trisomy 18
140,43.00 +/- 12.34,Adult (>18 years old),Both,Schizophrenia,Detected by CE-TOFMS
141,,Adult (>18 years old),Both,Pancreatic Cancer ,Detected by CE-TOFMS
142,21.99 (7.84) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect,Detected by CE-TOFMS
143,20.05 (8.39) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS
144,33.3 (23.6) ,Adult (>18 years old),Female,Late-onset preeclampsia,Detected by CE-TOFMS
145,62.92(17.18),Adult (>18 years old),Both,Heart failure with preserved ejection fraction,Detected by CE-TOFMS
146,21.6 (9.4) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS
147,70.68(28.54),Adult (>18 years old),Both,Heart failure with reduced ejection fraction,Detected by CE-TOFMS
148,25.4 (5.5) ,Adult (>18 years old),Female,Down syndrome pregnancy,Detected by CE-TOFMS
149,27.0 (8.9) ,Adult (>18 years old),Female,Pregnancy,Detected by CE-TOFMS
150,39.0 +/- 92.7,Adult (>18 years old),Both,Hyperoxalemia,"Patients with long-term hyperoxalemia (before hemodialysis)
"
151,6.5 +/- 18.6,Adult (>18 years old),Both,Hyperoxalemia,"Patients with long-term hyperoxalemia (after 4-hour hemodialysis session)
"
152,82.57 +/- 36.71,Adult (>18 years old),Both,Canavan disease,"Patients with long-term hyperoxalemia (after 4-hour hemodialysis session)
"
153,0.126  +/-  0.018,Adult (>18 years old),Both,Septic shock,None
154,94,Children (1-13 years old),Male,Argininosuccinic aciduria (ASL),None
155,62,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL),None
156,52.846,Children (1-13 years old),Female,Dibasic Amino Aciduria I,None
157,75-92,Adolescent (13-18 years old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=1
158,15.6 +/- 13.5,Children (1-13 years old),Female,Pearson Syndrome,Age is 9-23 months old
159,60-120,Children (1-13 years old),Both,"Cutis laxa, autosomal recessive, type IIIA",Age is 9-23 months old
160,111-122,Children (1-13 years old),Female,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",Age is 9-23 months old
161,140-503,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency,Age is 9-23 months old
162,70,Children (1-13 years old),,Pyruvate carboxylase deficiency,Age is 9-23 months old
163,1100.0 (200.0-2000.0),Children (1-13 years old),Both,Argininosuccinic aciduria (ASL),Age is 9-23 months old
164,61-164,Adult (>18 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=6
165,268,Infant (0-1 year old),,Pyruvate carboxylase deficiency,n=6
166,40-145,Children (1-13 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=7
167,234,Children (1-13 years old),Female,Carnitine palmitoyltransferase deficiency I,n=7
168,82-209,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2,n=7
169,65-145,Children (1-13 years old),Female,Cerebral creatine deficiency syndrome 2,n=7
170,66-86,Infant (0-1 year old),Female,Infantile Liver Failure Syndrome 2,n=7
171,138,Infant (0-1 year old),Female,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration",n=7
172,338,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of",n=7
173,110-270,Newborn (0-30 days old),Male,Narp Syndrome,n=7
174,25-30,Children (1-13 years old),Both,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",n=7
175,146,Newborn (0-30 days old),Male,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic",n=7
176,1.703-14.0336,Adult (>18 years old),Both,"Citrullinemia type II, adult-onset",n=7
177,49,Infant (0-1 year old),Male,Sulfite oxidase deficiency,n=1
178,13446.464-63415.637,Children (1 - 13 years old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1
179,139 - 299,Infant (0-1 year old),Male,Fumaric aciduria,n=1
180,231(96-780),Adult (>18 years old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=1
181,27-246,Children (1-13 years old),Male,N-acetylglutamate synthetase deficiency,n=1
182,27.0104-572.502,Children (1 - 13 years old),Both,Citrullinemia Type I,n=1
183,85-835,Infant (0-1 year old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2
184,105-500,Newborn (0-30 days old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2
185,44-84,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD),n=2
186,63,Newborn (0-30 days old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency,n=2
187,50.4 +/- 17.0,Adult (>18 years old),Both,Short bowel syndrome,n=2
188,>700,Adolescent (13-18 years old),Male,Mitochondrial complex I deficiency due to ACAD9 deficiency,n=2
189,252.488 +/- 46.387,Adult (>18 years old),Not Specified,adult-type citrullinemia,at 8 pm
190,70.462 +/- 22.313,Adult (>18 years old),Not Specified,adult-type citrullinemia,at 9 am
191,52.5 (25.0-80.0),Adult (>18 years old),Both,3-methyl-crotonyl-glycinuria,at 9 am
192,200.0 (100.0-300.0),Children (1-13 years old),Both,3-Methyl-Crotonyl-Glycinuria,at 9 am
193,1515,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL),None
194,300.0 (270.0-458.0),Children (1-13 years old),Female,Argininosuccinyl-CoA lyase deficiency,None
195,0.000698-0.0583,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",None
196,0.0066 +/- 0.0038,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS),"Measured in plasma, after pioglitazone treatment
"
197,0.00663,Adolescent (13-18 years old),Female,21-hydroxylase deficiency,n=1
198,0-0.00244,Adult (>18 years old),Female,21-hydroxylase deficiency,n=2
199,0.517,Infant (0-1 year old),Both,"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency (CAH)","n=6. Significantly higher than normal, but no p value"
200,0.00154-0.0174,Adult (>18 years old),Female,21-hydroxylase deficiency,"n=6. Significantly higher than normal, but no p value"
201,0.00137 +/- 0.000800,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 4-42 days
202,0.000810 +/- 0.00140,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",In children of 7-20 months old
203,0.000900-0.00420,Adult (>18 years old),Male,X-linked ichthyosis,In children of 7-20 months old
204,0.0017,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
205,0.0041,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
206,0.00175-0.0770,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=3
207,0.000270-0.0480,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
208,0.000570 +/- 0.000200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
209,0.00103 +/- 0.00100,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
210,0.00380 +/- 0.00100,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
211,0.00430 +/- 0.00180,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=4
212,,Adult (>18 years old),Male,Schizophrenia,Detected by GC-MS
213,<0.00003,Adult (>18 years old),Female,Lipoid Adrenal Hyperplasia,Detected by GC-MS
214,<0.00003,Adolescent (13-18 years old),Female,Lipoid Adrenal Hyperplasia,Detected by GC-MS
215,0.00279-0.00454,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency",n=1
216,0.12,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency,n=1
217,0.00360-0.0227,Children (1-13 years old),Both,11-beta-hydroxylase deficiency,n=1
218,0.0090 +/- 0.0046,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS),"Measured in plasma before pioglitazone treatment
"
219,0.0090 +/- 0.0065,Adult (>18 years old),Both,Cushing's syndrome,"Measured in plasma before pioglitazone treatment
"
220,0.0031 +/- 0.0030,Adult (>18 years old),Both,Cushing's syndrome,"Measured in plasma before pioglitazone treatment
"
221,0.000873,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete",n=1
222,14.6 +/- 2.5,Adult (>18 years old),Both,Growth hormone deficiency,"Severe radiation-induced GH deficiency, postfasting, measured in serum
"
223,650,Adolescent (13-18 years old),Male,Crigler-Najjar syndrome Type I,"Severe radiation-induced GH deficiency, postfasting, measured in serum
"
224,25.656-78.678,Adult (>18 years old),Both,"Anemia, congenital dyserythropoietic, type II","n=10. This is the unconjugated bilirubin. Level is higher than normal, but no p value"
225,28.7-170,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2,Direct bilirubin
226,22-41,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset",Direct bilirubin. Higher than control
227,46.9-233,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2,Total bilirubin
228,41-101,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset",Total bilirubin
229,73.1-85.0,Infant (0-1 year old),Female,Infantile Liver Failure Syndrome 2,Total bilirubin
230,41(6-381),Children (1-13 years old),Both,"Cholestasis, progressive familial intrahepatic, 1",Total bilirubin
231,59.2,Infant (0-1 year old),Female,Wolcott-Rallison syndrome,Total bilirubin
232,106,Infant (0-1 year old),Female,"Bile Acid Synthesis Defect, Congenital, 1",Total bilirubin
233,24.5,Adult (>18 years old),Female,Lecithin:cholesterol Acyltransferase Deficiency,Total bilirubin
234,8.80 +/- 1.22,Adult (>18 years old),Both,Growth hormone deficiency,"Severe radiation-induced GH deficiency, measured in serum
"
235,573.0 (291.0-855.0),Children (1-13 years old),Both,Crigler-Najjar syndrome Type I,"Severe radiation-induced GH deficiency, measured in serum
"
236,29.59,Newborn (0-30 days old),Male,Lathosterolosis,conjugated bilirubin
237,380.733 +/- 142.989,Newborn (0-30 days old),Both,Glucose-6-phosphate dehydrogenase deficiency,"Indirect Bilirubin. Siginicantly higher than control, p=0.001"
238,6.842-20.525,Adult (>18 years old),Male,Primary Hypomagnesemia,n=1
