,Name,Accession,Patient Sex,min_age,max_age,min_range,max_range,Disease
82,(S)-3-Hydroxyisobutyric acid,HMDB0000023,Both,18,64,33.0,43.0,Diabetes 
83,Tetrahydrobiopterin,HMDB0000027,Both,18,64,0.0,5.8,Septic shock
84,Tetrahydrobiopterin,HMDB0000027,Both,18,64,0.8,14.9,Septic shock
85,Tetrahydrobiopterin,HMDB0000027,Both,18,64,0.0091,0.010700000000000001,Smoking
86,Tetrahydrobiopterin,HMDB0000027,Both,18,64,0.0037,0.0051,Myocardial infarction
89,7-Dehydrocholesterol,HMDB0000032,Both,18,64,46.0,1220.0,Smith-Lemli-Opitz syndrome
90,Carnosine,HMDB0000033,Both,65,99,2.3699999999999997,4.1899999999999995,Alzheimer's disease
91,Adenine,HMDB0000034,Both,18,64,0.2,0.8,Solid tumors
92,Taurocholic acid,HMDB0000036,Both,0,1,7.9,11.700000000000001,GI disorder
93,Taurocholic acid,HMDB0000036,Both,0,1,3.9999999999999996,7.199999999999999,GI disorder
94,Taurocholic acid,HMDB0000036,Both,0,1,0.7,1.7,GI disorder
95,Taurocholic acid,HMDB0000036,Both,0,1,0.1,0.30000000000000004,GI disorder
96,Taurocholic acid,HMDB0000036,Both,0,1,0.3,2.7,Severe acute malnutrition
100,Aldosterone,HMDB0000037,Female,1,13,0.0204,0.0735,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
102,Aldosterone,HMDB0000037,Both,18,64,0.00035999999999999997,0.00046,Heart failure
103,Aldosterone,HMDB0000037,Female,0,0.003,0.00333,9999,"Bartter Syndrome, Type 2, Antenatal"
104,Aldosterone,HMDB0000037,Both,0,1,0.000145,0.00499,Congenital chloride diarrhea
107,Aldosterone,HMDB0000037,Male,18,64,0,6.9e-05,Glucocorticoid resistance
108,Aldosterone,HMDB0000037,Female,0,1,0,6.9e-05,Lipoid Adrenal Hyperplasia
110,Aldosterone,HMDB0000037,Female,0,0.003,0.00415,9999,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"
111,Aldosterone,HMDB0000037,Both,18,64,0.000193,0.000273,Heart failure
115,Dihydrobiopterin,HMDB0000038,Both,18,64,0.0594,0.06760000000000001,Kidney disease
116,Acetic acid,HMDB0000042,Both,18,64,24.900000000000002,59.5,Heart Transplant
117,Acetic acid,HMDB0000042,Female,18,64,15.430000000000001,41.09,Pregnancy with fetuses with trisomy 18
118,Acetic acid,HMDB0000042,Female,18,64,-8.803,54.602999999999994,Pregnancy
119,Acetic acid,HMDB0000042,Female,18,64,11.899999999999999,23.9,Early preeclampsia
120,Acetic acid,HMDB0000042,Female,18,64,-2.0,98.8,Pregnancy
122,Acetic acid,HMDB0000042,Female,18,64,17.700000000000003,33.68,Pregnancy with fetus having congenital heart defect
123,Acetic acid,HMDB0000042,Female,18,64,21.590000000000003,38.11,Pregnancy
124,Acetic acid,HMDB0000042,Female,18,64,-20.900000000000006,182.1,Late-onset preeclampsia
125,Acetic acid,HMDB0000042,Both,18,64,11.79,85.31,Heart failure with reduced ejection fraction
126,Acetic acid,HMDB0000042,Female,18,64,-3.3999999999999986,101.6,Pregnancy
127,Acetic acid,HMDB0000042,Female,18,64,9.899999999999999,45.1,Down syndrome pregnancy
128,Acetic acid,HMDB0000042,Female,18,64,7.5,52.7,Pregnancy
129,Betaine,HMDB0000043,Both,18,64,22.8,61.400000000000006,Heart Transplant
132,Betaine,HMDB0000043,Both,18,64,23.9,42.5,Chronic renal failure
133,Betaine,HMDB0000043,Both,18,64,23.4,36.6,Continuous ambulatory peritoneal dialysis (CAPD)
134,Betaine,HMDB0000043,Both,18,64,28.3,36.2,Hemodialysis
135,Betaine,HMDB0000043,Female,18,64,14.590000000000002,38.43,Pregnancy with fetuses with trisomy 18
136,Betaine,HMDB0000043,Female,18,64,15.24,35.3,Pregnancy
137,Betaine,HMDB0000043,Female,18,64,22.299999999999997,36.1,Early preeclampsia
138,Betaine,HMDB0000043,Female,18,64,17.0,34.6,Pregnancy
140,Betaine,HMDB0000043,Both,18,64,30.66,55.34,Schizophrenia
142,Betaine,HMDB0000043,Female,18,64,14.149999999999999,29.83,Pregnancy with fetus having congenital heart defect
143,Betaine,HMDB0000043,Female,18,64,11.66,28.44,Pregnancy
144,Betaine,HMDB0000043,Female,18,64,9.699999999999996,56.9,Late-onset preeclampsia
145,Betaine,HMDB0000043,Both,18,64,45.74,80.1,Heart failure with preserved ejection fraction
146,Betaine,HMDB0000043,Female,18,64,12.200000000000001,31.0,Pregnancy
147,Betaine,HMDB0000043,Both,18,64,42.14000000000001,99.22,Heart failure with reduced ejection fraction
148,Betaine,HMDB0000043,Female,18,64,19.9,30.9,Down syndrome pregnancy
149,Betaine,HMDB0000043,Female,18,64,18.1,35.9,Pregnancy
150,Ascorbic acid,HMDB0000044,Both,18,64,-53.7,131.7,Hyperoxalemia
151,Ascorbic acid,HMDB0000044,Both,18,64,-12.100000000000001,25.1,Hyperoxalemia
152,Ascorbic acid,HMDB0000044,Both,18,64,45.85999999999999,119.28,Canavan disease
153,Adenosine,HMDB0000050,Both,18,64,0.108,0.144,Septic shock
157,Ammonia,HMDB0000051,Female,13,18,75.0,92.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
158,Ammonia,HMDB0000051,Female,1,13,2.0999999999999996,29.1,Pearson Syndrome
159,Ammonia,HMDB0000051,Both,1,13,60.0,120.0,"Cutis laxa, autosomal recessive, type IIIA"
160,Ammonia,HMDB0000051,Female,1,13,111.0,122.0,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration"
161,Ammonia,HMDB0000051,,0,1,140.0,503.0,Mitochondrial trifunctional protein deficiency
163,Ammonia,HMDB0000051,Both,1,13,200.0,2000.0,Argininosuccinic aciduria (ASL)
164,Ammonia,HMDB0000051,Both,18,64,61.0,164.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
166,Ammonia,HMDB0000051,Both,1,13,40.0,145.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
168,Ammonia,HMDB0000051,Both,1,13,82.0,209.0,Infantile Liver Failure Syndrome 2
169,Ammonia,HMDB0000051,Female,1,13,65.0,145.0,Cerebral creatine deficiency syndrome 2
170,Ammonia,HMDB0000051,Female,0,1,66.0,86.0,Infantile Liver Failure Syndrome 2
173,Ammonia,HMDB0000051,Male,0,0.003,110.0,270.0,Narp Syndrome
174,Ammonia,HMDB0000051,Both,1,13,25.0,30.0,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic"
176,Ammonia,HMDB0000051,Both,18,64,1.703,14.0336,"Citrullinemia type II, adult-onset"
178,Ammonia,HMDB0000051,Both,1,13,13446.464,63415.637,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
179,Ammonia,HMDB0000051,Male,0,1,139.0,299.0,Fumaric aciduria
180,Ammonia,HMDB0000051,Both,18,64,96.0,780.0,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
181,Ammonia,HMDB0000051,Male,1,13,27.0,246.0,N-acetylglutamate synthetase deficiency
182,Ammonia,HMDB0000051,Both,1,13,27.0104,572.502,Citrullinemia Type I
183,Ammonia,HMDB0000051,Both,0,1,85.0,835.0,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
184,Ammonia,HMDB0000051,Both,0,0.003,105.0,500.0,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
185,Ammonia,HMDB0000051,Male,0,1,44.0,84.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
187,Ammonia,HMDB0000051,Both,18,64,33.4,67.4,Short bowel syndrome
188,Ammonia,HMDB0000051,Male,13,18,700.0,9999,Mitochondrial complex I deficiency due to ACAD9 deficiency
189,Ammonia,HMDB0000051,Not Specified,18,64,206.101,298.875,adult-type citrullinemia
190,Ammonia,HMDB0000051,Not Specified,18,64,48.149,92.775,adult-type citrullinemia
191,Ammonia,HMDB0000051,Both,18,64,25.0,80.0,3-methyl-crotonyl-glycinuria
192,Ammonia,HMDB0000051,Both,1,13,100.0,300.0,3-Methyl-Crotonyl-Glycinuria
194,Argininosuccinic acid,HMDB0000052,Female,1,13,270.0,458.0,Argininosuccinyl-CoA lyase deficiency
195,Androstenedione,HMDB0000053,Male,0,0.003,0.000698,0.0583,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
196,Androstenedione,HMDB0000053,Female,18,64,0.0028,0.0104,Polycystic ovary syndrome (PCOS)
198,Androstenedione,HMDB0000053,Female,18,64,0.0,0.00244,21-hydroxylase deficiency
200,Androstenedione,HMDB0000053,Female,18,64,0.00154,0.0174,21-hydroxylase deficiency
201,Androstenedione,HMDB0000053,Not Specified,0,0.003,0.0005699999999999999,0.00217,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
202,Androstenedione,HMDB0000053,Not Specified,1,13,-0.00059,0.00221,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
203,Androstenedione,HMDB0000053,Male,18,64,0.0009,0.0042,X-linked ichthyosis
206,Androstenedione,HMDB0000053,Both,0,0.003,0.00175,0.077,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
207,Androstenedione,HMDB0000053,Both,1,13,0.00027,0.048,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
208,Androstenedione,HMDB0000053,Both,1,13,0.00037,0.00077,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
209,Androstenedione,HMDB0000053,Not Specified,0,1,3.000000000000008e-05,0.00203,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
210,Androstenedione,HMDB0000053,Male,18,64,0.0028,0.0048000000000000004,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
211,Androstenedione,HMDB0000053,Female,18,64,0.0025,0.0060999999999999995,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
213,Androstenedione,HMDB0000053,Female,18,64,0,3e-05,Lipoid Adrenal Hyperplasia
214,Androstenedione,HMDB0000053,Female,13,18,0,3e-05,Lipoid Adrenal Hyperplasia
215,Androstenedione,HMDB0000053,Female,18,64,0.00279,0.00454,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
217,Androstenedione,HMDB0000053,Both,1,13,0.0036,0.0227,11-beta-hydroxylase deficiency
218,Androstenedione,HMDB0000053,Female,18,64,0.004399999999999999,0.0136,Polycystic ovary syndrome (PCOS)
219,Androstenedione,HMDB0000053,Both,18,64,0.0024999999999999996,0.0155,Cushing's syndrome
220,Androstenedione,HMDB0000053,Both,18,64,9.999999999999983e-05,0.0060999999999999995,Cushing's syndrome
222,Bilirubin,HMDB0000054,Both,18,64,12.1,17.1,Growth hormone deficiency
224,Bilirubin,HMDB0000054,Both,18,64,25.656,78.678,"Anemia, congenital dyserythropoietic, type II"
225,Bilirubin,HMDB0000054,Both,1,13,28.7,170.0,Infantile Liver Failure Syndrome 2
226,Bilirubin,HMDB0000054,Both,0,0.003,22.0,41.0,"Citrullinemia type II, neonatal-onset"
227,Bilirubin,HMDB0000054,Both,1,13,46.9,233.0,Infantile Liver Failure Syndrome 2
228,Bilirubin,HMDB0000054,Both,0,0.003,41.0,101.0,"Citrullinemia type II, neonatal-onset"
229,Bilirubin,HMDB0000054,Female,0,1,73.1,85.0,Infantile Liver Failure Syndrome 2
230,Bilirubin,HMDB0000054,Both,1,13,6.0,381.0,"Cholestasis, progressive familial intrahepatic, 1"
234,Bilirubin,HMDB0000054,Both,18,64,7.580000000000001,10.020000000000001,Growth hormone deficiency
235,Bilirubin,HMDB0000054,Both,1,13,291.0,855.0,Crigler-Najjar syndrome Type I
237,Bilirubin,HMDB0000054,Both,0,0.003,237.744,523.722,Glucose-6-phosphate dehydrogenase deficiency
238,Bilirubin,HMDB0000054,Male,18,64,6.842,20.525,Primary Hypomagnesemia
239,Bilirubin,HMDB0000054,Male,18,64,18.814,518.248,"Cholestasis, progressive familial intrahepatic, 1"
241,Bilirubin,HMDB0000054,Female,1,13,42.76,141.962,"Cholestasis, progressive familial intrahepatic, 1"
244,beta-Alanine,HMDB0000056,Both,18,64,0.9,6.2,Dihydropyrimidine dehydrogenase (DPD) deficiency
245,beta-Alanine,HMDB0000056,Both,18,64,1.4000000000000001,4.0,Dihydropyrimidine dehydrogenase (DPD) deficiency
248,beta-Alanine,HMDB0000056,Both,18,64,0.0,10.0,Hyper beta-alaninemia
249,beta-Alanine,HMDB0000056,Both,1,13,15.0,200.0,Hyper beta-alaninemia
250,Cyclic AMP,HMDB0000058,Male,18,64,0.0074,0.008,Sildenafil-induced headache
251,Acetoacetic acid,HMDB0000060,Both,18,64,12.9,41.7,Heart Transplant
252,Acetoacetic acid,HMDB0000060,Female,18,64,8.929999999999998,30.189999999999998,Pregnancy with fetuses with trisomy 18
253,Acetoacetic acid,HMDB0000060,Female,18,64,6.969999999999999,25.33,Pregnancy
254,Acetoacetic acid,HMDB0000060,Female,18,64,9.4,19.6,Early preeclampsia
255,Acetoacetic acid,HMDB0000060,Female,18,64,9.100000000000001,28.5,Pregnancy
257,Acetoacetic acid,HMDB0000060,Both,18,64,3010.0,3050.0,Diabetes
258,Acetoacetic acid,HMDB0000060,Female,18,64,3.41,25.25,Pregnancy with fetus having congenital heart defect
259,Acetoacetic acid,HMDB0000060,Female,18,64,4.43,20.85,Pregnancy
260,Acetoacetic acid,HMDB0000060,Female,18,64,9.099999999999998,28.7,Late-onset preeclampsia
261,Acetoacetic acid,HMDB0000060,Female,18,64,6.9,26.1,Pregnancy
262,Acetoacetic acid,HMDB0000060,Both,18,64,-8.3,60.84,Heart failure with reduced ejection fraction
264,Acetoacetic acid,HMDB0000060,Male,1,13,50.0,1280.0,2-Ketoglutarate dehydrogenase complex deficiency
268,Acetoacetic acid,HMDB0000060,Female,18,64,-0.8000000000000007,47.8,Down syndrome pregnancy
269,Acetoacetic acid,HMDB0000060,Female,18,64,6.6000000000000005,21.2,Pregnancy
270,Acetoacetic acid,HMDB0000060,Male,1,13,0,30.0,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
272,L-Carnitine,HMDB0000062,Both,18,64,17.800000000000004,65.6,Heart Transplant
274,L-Carnitine,HMDB0000062,Female,0,1,47.0,68.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
275,L-Carnitine,HMDB0000062,Female,18,64,20.6,33.8,Myopathic carnitine deficiency
276,L-Carnitine,HMDB0000062,Female,0,1,0.0,2.2,"Long-chain Fatty Acids, Defect in Transport of"
280,L-Carnitine,HMDB0000062,Not Specified,0,1,37.0,48.0,Oculocerebrorenal Syndrome of Lowe
281,L-Carnitine,HMDB0000062,Female,18,64,15.54,36.54,Pregnancy with fetuses with trisomy 18
282,L-Carnitine,HMDB0000062,Both,1,13,23.0,72.0,Methylmalonic aciduria mitochondrial encephelopathy Leigh-like
283,L-Carnitine,HMDB0000062,Not Specified,1,13,15.0,34.0,Oculocerebrorenal Syndrome of Lowe
284,L-Carnitine,HMDB0000062,Female,18,64,12.600000000000001,36.0,Pregnancy
285,L-Carnitine,HMDB0000062,Not Specified,13,18,9.0,33.0,Oculocerebrorenal Syndrome of Lowe
286,L-Carnitine,HMDB0000062,Not Specified,18,64,19.0,31.0,Oculocerebrorenal Syndrome of Lowe
287,L-Carnitine,HMDB0000062,Female,18,64,23.9,36.5,Early preeclampsia
288,L-Carnitine,HMDB0000062,,0,1,10.0,21.0,Mitochondrial trifunctional protein deficiency
289,L-Carnitine,HMDB0000062,Female,18,64,17.700000000000003,45.9,Pregnancy
293,L-Carnitine,HMDB0000062,Male,0,1,43.0,51.0,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
294,L-Carnitine,HMDB0000062,Female,18,64,2.474999999999998,31.121,Pregnancy with fetus having congenital heart defect
295,L-Carnitine,HMDB0000062,Both,1,13,9.370000000000001,20.79,Acetaminophen overdose
296,L-Carnitine,HMDB0000062,Female,18,64,16.2,25.959999999999997,Pregnancy with fetus having congenital heart defect
297,L-Carnitine,HMDB0000062,Female,18,64,15.16,24.8,Pregnancy
298,L-Carnitine,HMDB0000062,Female,18,64,21.999999999999996,71.6,Late-onset preeclampsia
299,L-Carnitine,HMDB0000062,Male,0,1,18.0,22.0,"2,4-dienoyl-CoA reductase deficiency"
300,L-Carnitine,HMDB0000062,Female,18,64,7.800000000000001,47.8,Pregnancy
301,L-Carnitine,HMDB0000062,Both,18,64,36.51,64.78999999999999,Heart failure with preserved ejection fraction
302,L-Carnitine,HMDB0000062,Both,18,64,32.03,62.41,Heart failure with preserved ejection fraction
303,L-Carnitine,HMDB0000062,Both,18,64,41.21,67.55,Heart failure with reduced ejection fraction
304,L-Carnitine,HMDB0000062,Both,18,64,42.27,58.49,Heart failure with reduced ejection fraction
305,L-Carnitine,HMDB0000062,Not Specified,1,13,18.689999999999998,22.39,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
306,L-Carnitine,HMDB0000062,Both,1,13,23.0,50.0,L-2-hydroxyglutaric aciduria
307,L-Carnitine,HMDB0000062,Both,1,13,25.2,42.8,Obesity
308,L-Carnitine,HMDB0000062,Both,1,13,28.1,44.300000000000004,Obesity
309,L-Carnitine,HMDB0000062,Female,18,64,15.8,35.2,Down syndrome pregnancy
310,L-Carnitine,HMDB0000062,Female,18,64,11.2,27.8,Pregnancy
313,Cortisol,HMDB0000063,Male,0,0.003,0.0124,0.455,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
314,Cortisol,HMDB0000063,Female,0,0.003,0,0.0276,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"
315,Cortisol,HMDB0000063,Both,18,64,0.028,0.66,"ACTH deficiency, isolated"
316,Cortisol,HMDB0000063,Both,1,13,0.0,0.002,Adrenal Hypoplasia
317,Cortisol,HMDB0000063,Both,18,64,0.23600000000000002,0.41600000000000004,Schizophrenia
318,Cortisol,HMDB0000063,Both,18,64,8.620000000000001,12.48,Schizophrenia
321,Cortisol,HMDB0000063,Not Specified,0,0.003,0.09999999999999998,0.5,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
322,Cortisol,HMDB0000063,Male,18,64,0.684,0.991,Glucocorticoid resistance
323,Cortisol,HMDB0000063,Not Specified,1,13,0.2,0.6000000000000001,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
326,Cortisol,HMDB0000063,Both,0,0.003,0.29,0.39,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
327,Cortisol,HMDB0000063,Both,1,13,0.28,0.48,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
330,Cortisol,HMDB0000063,Male,18,64,0.26,0.45999999999999996,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
331,Cortisol,HMDB0000063,Not Specified,0,1,0.11000000000000001,0.35,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
332,Cortisol,HMDB0000063,Both,1,13,0.18,0.42,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
333,Cortisol,HMDB0000063,Female,18,64,0.24,0.48,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
334,Cortisol,HMDB0000063,Female,18,64,0,0.138,Proprotein Convertase 1/3 Deficiency
336,Cortisol,HMDB0000063,Female,0,1,0,0.028,Lipoid Adrenal Hyperplasia
339,Cortisol,HMDB0000063,Both,0,1,0.434,0.654,Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis
341,Cortisol,HMDB0000063,Both,18,64,0.21000000000000002,0.33,Major affective disorder
343,Cortisol,HMDB0000063,Both,18,64,0.20999999999999996,0.61,Tic disorder
346,Cortisol,HMDB0000063,Female,18,64,0,0.1,"ACTH deficiency, isolated"
348,Creatine,HMDB0000064,Both,18,64,-3.9000000000000057,71.5,Heart Transplant
349,Creatine,HMDB0000064,Female,18,64,28.3,56.6,Cirrhosis
350,Creatine,HMDB0000064,Male,1,13,486.0,570.0,Hypermethioninemia
351,Creatine,HMDB0000064,Male,18,64,16.5,30.8,Cirrhosis
352,Creatine,HMDB0000064,Female,18,64,17.5,43.1,Pregnancy with fetuses with trisomy 18
353,Creatine,HMDB0000064,Female,18,64,20.450000000000003,50.75,Pregnancy
