,Accession,Disease_id,Disease_name
88,HMDB0000008,89,Schizophrenia
89,HMDB0000008,90,Early preeclampsia
90,HMDB0000008,91,Pregnancy
91,HMDB0000008,92,Late-onset preeclampsia
92,HMDB0000008,93,Alzheimer's disease
93,HMDB0000008,94,Frontotemporal dementia
94,HMDB0000008,95,Lewy body disease
95,HMDB0000008,96,Pyruvate dehydrogenase deficiency
96,HMDB0000008,97,Eosinophilic esophagitis
97,HMDB0000008,98,Dihydrolipoamide Dehydrogenase Deficiency
98,HMDB0000008,99,Colorectal cancer
99,HMDB0000008,100,Schizophrenia
100,HMDB0000008,101,Early preeclampsia
101,HMDB0000008,102,Pregnancy
102,HMDB0000008,103,Late-onset preeclampsia
103,HMDB0000008,104,Alzheimer's disease
104,HMDB0000008,105,Frontotemporal dementia
105,HMDB0000008,106,Lewy body disease
106,HMDB0000008,107,Pyruvate dehydrogenase deficiency
107,HMDB0000008,108,Eosinophilic esophagitis
108,HMDB0000008,109,Dihydrolipoamide Dehydrogenase Deficiency
109,HMDB0000008,110,Colorectal cancer
110,HMDB0000008,111,Schizophrenia
111,HMDB0000008,112,Early preeclampsia
112,HMDB0000008,113,Pregnancy
113,HMDB0000008,114,Late-onset preeclampsia
114,HMDB0000008,115,Alzheimer's disease
115,HMDB0000008,116,Frontotemporal dementia
116,HMDB0000008,117,Lewy body disease
117,HMDB0000008,118,Pyruvate dehydrogenase deficiency
118,HMDB0000008,119,Eosinophilic esophagitis
119,HMDB0000008,120,Dihydrolipoamide Dehydrogenase Deficiency
120,HMDB0000008,121,Colorectal cancer
121,HMDB0000008,122,Schizophrenia
122,HMDB0000008,123,Early preeclampsia
123,HMDB0000008,124,Pregnancy
124,HMDB0000008,125,Late-onset preeclampsia
125,HMDB0000008,126,Alzheimer's disease
126,HMDB0000008,127,Frontotemporal dementia
127,HMDB0000008,128,Lewy body disease
128,HMDB0000008,129,Pyruvate dehydrogenase deficiency
129,HMDB0000008,130,Eosinophilic esophagitis
130,HMDB0000008,131,Dihydrolipoamide Dehydrogenase Deficiency
131,HMDB0000008,132,Colorectal cancer
132,HMDB0000008,133,Schizophrenia
133,HMDB0000008,134,Early preeclampsia
134,HMDB0000008,135,Pregnancy
135,HMDB0000008,136,Late-onset preeclampsia
136,HMDB0000008,137,Alzheimer's disease
137,HMDB0000008,138,Frontotemporal dementia
138,HMDB0000008,139,Lewy body disease
139,HMDB0000008,140,Pyruvate dehydrogenase deficiency
140,HMDB0000008,141,Eosinophilic esophagitis
141,HMDB0000008,142,Dihydrolipoamide Dehydrogenase Deficiency
142,HMDB0000010,143,Prolactinoma
143,HMDB0000011,144,Diabetes mellitus type 2
144,HMDB0000011,145,Obesity
145,HMDB0000011,146,Pancreatic cancer
146,HMDB0000011,147,Colorectal cancer
147,HMDB0000011,148,Schizophrenia
148,HMDB0000011,149,Early preeclampsia
149,HMDB0000011,150,Pregnancy
150,HMDB0000011,151,Late-onset preeclampsia
151,HMDB0000011,152,2-Ketoglutarate dehydrogenase complex deficiency
152,HMDB0000011,153,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
153,HMDB0000011,154,3-Hydroxyacyl-CoA dehydrogenase deficiency
154,HMDB0000011,155,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
155,HMDB0000011,156,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
156,HMDB0000011,157,Ketotic hypoglycemia
157,HMDB0000011,158,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
158,HMDB0000011,159,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
159,HMDB0000011,160,Pyruvate dehydrogenase phosphatase deficiency
160,HMDB0000011,161,Carnitine palmitoyltransferase I deficiency
161,HMDB0000011,162,Anoxia
162,HMDB0000011,163,Meningitis
163,HMDB0000011,164,Ulcerative colitis
164,HMDB0000011,165,Crohn's disease
165,HMDB0000011,166,Alzheimer's disease
166,HMDB0000011,167,Frontotemporal dementia
167,HMDB0000011,168,Lewy body disease
168,HMDB0000011,169,Eosinophilic esophagitis
169,HMDB0000011,170,Medium Chain Acyl-CoA Dehydrogenase Deficiency
170,HMDB0000011,171,Fumarase deficiency
171,HMDB0000011,172,3-Hydroxyisobutyric acid dehydrogenase deficiency
172,HMDB0000011,173,3-Hydroxydicarboxylic aciduria
173,HMDB0000011,174,Pyruvate carboxylase deficiency
174,HMDB0000011,175,Diabetes mellitus type 2
175,HMDB0000011,176,Obesity
176,HMDB0000011,177,Pancreatic cancer
177,HMDB0000011,178,Colorectal cancer
178,HMDB0000011,179,Schizophrenia
179,HMDB0000011,180,Early preeclampsia
180,HMDB0000011,181,Pregnancy
181,HMDB0000011,182,Late-onset preeclampsia
182,HMDB0000011,183,2-Ketoglutarate dehydrogenase complex deficiency
183,HMDB0000011,184,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
184,HMDB0000011,185,3-Hydroxyacyl-CoA dehydrogenase deficiency
185,HMDB0000011,186,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
186,HMDB0000011,187,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
187,HMDB0000011,188,Ketotic hypoglycemia
188,HMDB0000011,189,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
189,HMDB0000011,190,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
190,HMDB0000011,191,Pyruvate dehydrogenase phosphatase deficiency
191,HMDB0000011,192,Carnitine palmitoyltransferase I deficiency
192,HMDB0000011,193,Anoxia
193,HMDB0000011,194,Meningitis
194,HMDB0000011,195,Ulcerative colitis
195,HMDB0000011,196,Crohn's disease
196,HMDB0000011,197,Alzheimer's disease
197,HMDB0000011,198,Frontotemporal dementia
198,HMDB0000011,199,Lewy body disease
199,HMDB0000011,200,Eosinophilic esophagitis
200,HMDB0000011,201,Medium Chain Acyl-CoA Dehydrogenase Deficiency
201,HMDB0000011,202,Fumarase deficiency
202,HMDB0000011,203,3-Hydroxyisobutyric acid dehydrogenase deficiency
203,HMDB0000011,204,3-Hydroxydicarboxylic aciduria
204,HMDB0000011,205,Pyruvate carboxylase deficiency
205,HMDB0000011,206,Diabetes mellitus type 2
206,HMDB0000011,207,Obesity
207,HMDB0000011,208,Pancreatic cancer
208,HMDB0000011,209,Colorectal cancer
209,HMDB0000011,210,Schizophrenia
210,HMDB0000011,211,Early preeclampsia
211,HMDB0000011,212,Pregnancy
212,HMDB0000011,213,Late-onset preeclampsia
213,HMDB0000011,214,2-Ketoglutarate dehydrogenase complex deficiency
214,HMDB0000011,215,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
215,HMDB0000011,216,3-Hydroxyacyl-CoA dehydrogenase deficiency
216,HMDB0000011,217,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
217,HMDB0000011,218,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
218,HMDB0000011,219,Ketotic hypoglycemia
219,HMDB0000011,220,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
220,HMDB0000011,221,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
221,HMDB0000011,222,Pyruvate dehydrogenase phosphatase deficiency
222,HMDB0000011,223,Carnitine palmitoyltransferase I deficiency
223,HMDB0000011,224,Anoxia
224,HMDB0000011,225,Meningitis
225,HMDB0000011,226,Ulcerative colitis
226,HMDB0000011,227,Crohn's disease
227,HMDB0000011,228,Alzheimer's disease
228,HMDB0000011,229,Frontotemporal dementia
229,HMDB0000011,230,Lewy body disease
230,HMDB0000011,231,Eosinophilic esophagitis
231,HMDB0000011,232,Medium Chain Acyl-CoA Dehydrogenase Deficiency
232,HMDB0000011,233,Fumarase deficiency
233,HMDB0000011,234,3-Hydroxyisobutyric acid dehydrogenase deficiency
234,HMDB0000011,235,3-Hydroxydicarboxylic aciduria
235,HMDB0000011,236,Pyruvate carboxylase deficiency
236,HMDB0000011,237,Diabetes mellitus type 2
237,HMDB0000011,238,Obesity
238,HMDB0000011,239,Pancreatic cancer
239,HMDB0000011,240,Colorectal cancer
240,HMDB0000011,241,Schizophrenia
241,HMDB0000011,242,Early preeclampsia
242,HMDB0000011,243,Pregnancy
243,HMDB0000011,244,Late-onset preeclampsia
244,HMDB0000011,245,2-Ketoglutarate dehydrogenase complex deficiency
245,HMDB0000011,246,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
246,HMDB0000011,247,3-Hydroxyacyl-CoA dehydrogenase deficiency
247,HMDB0000011,248,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
248,HMDB0000011,249,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
249,HMDB0000011,250,Ketotic hypoglycemia
250,HMDB0000011,251,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
251,HMDB0000011,252,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
252,HMDB0000011,253,Pyruvate dehydrogenase phosphatase deficiency
253,HMDB0000011,254,Carnitine palmitoyltransferase I deficiency
254,HMDB0000011,255,Anoxia
255,HMDB0000011,256,Meningitis
256,HMDB0000011,257,Ulcerative colitis
257,HMDB0000011,258,Crohn's disease
258,HMDB0000011,259,Alzheimer's disease
259,HMDB0000011,260,Frontotemporal dementia
260,HMDB0000011,261,Lewy body disease
261,HMDB0000011,262,Eosinophilic esophagitis
262,HMDB0000011,263,Medium Chain Acyl-CoA Dehydrogenase Deficiency
263,HMDB0000011,264,Fumarase deficiency
264,HMDB0000011,265,3-Hydroxyisobutyric acid dehydrogenase deficiency
265,HMDB0000011,266,3-Hydroxydicarboxylic aciduria
266,HMDB0000011,267,Pyruvate carboxylase deficiency
267,HMDB0000011,268,Diabetes mellitus type 2
268,HMDB0000011,269,Obesity
269,HMDB0000011,270,Pancreatic cancer
270,HMDB0000011,271,Colorectal cancer
271,HMDB0000011,272,Schizophrenia
272,HMDB0000011,273,Early preeclampsia
273,HMDB0000011,274,Pregnancy
274,HMDB0000011,275,Late-onset preeclampsia
275,HMDB0000011,276,2-Ketoglutarate dehydrogenase complex deficiency
276,HMDB0000011,277,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
277,HMDB0000011,278,3-Hydroxyacyl-CoA dehydrogenase deficiency
278,HMDB0000011,279,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
279,HMDB0000011,280,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
280,HMDB0000011,281,Ketotic hypoglycemia
281,HMDB0000011,282,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
282,HMDB0000011,283,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
283,HMDB0000011,284,Pyruvate dehydrogenase phosphatase deficiency
284,HMDB0000011,285,Carnitine palmitoyltransferase I deficiency
285,HMDB0000011,286,Anoxia
286,HMDB0000011,287,Meningitis
287,HMDB0000011,288,Ulcerative colitis
288,HMDB0000011,289,Crohn's disease
289,HMDB0000011,290,Alzheimer's disease
290,HMDB0000011,291,Frontotemporal dementia
291,HMDB0000011,292,Lewy body disease
292,HMDB0000011,293,Eosinophilic esophagitis
293,HMDB0000011,294,Medium Chain Acyl-CoA Dehydrogenase Deficiency
294,HMDB0000011,295,Fumarase deficiency
295,HMDB0000011,296,3-Hydroxyisobutyric acid dehydrogenase deficiency
296,HMDB0000011,297,3-Hydroxydicarboxylic aciduria
297,HMDB0000011,298,Pyruvate carboxylase deficiency
298,HMDB0000011,299,Diabetes mellitus type 2
299,HMDB0000011,300,Obesity
300,HMDB0000011,301,Pancreatic cancer
301,HMDB0000011,302,Colorectal cancer
302,HMDB0000011,303,Schizophrenia
303,HMDB0000011,304,Early preeclampsia
304,HMDB0000011,305,Pregnancy
305,HMDB0000011,306,Late-onset preeclampsia
306,HMDB0000011,307,2-Ketoglutarate dehydrogenase complex deficiency
307,HMDB0000011,308,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
308,HMDB0000011,309,3-Hydroxyacyl-CoA dehydrogenase deficiency
309,HMDB0000011,310,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
310,HMDB0000011,311,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
311,HMDB0000011,312,Ketotic hypoglycemia
312,HMDB0000011,313,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
313,HMDB0000011,314,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
314,HMDB0000011,315,Pyruvate dehydrogenase phosphatase deficiency
315,HMDB0000011,316,Carnitine palmitoyltransferase I deficiency
316,HMDB0000011,317,Anoxia
317,HMDB0000011,318,Meningitis
318,HMDB0000011,319,Ulcerative colitis
319,HMDB0000011,320,Crohn's disease
320,HMDB0000011,321,Alzheimer's disease
321,HMDB0000011,322,Frontotemporal dementia
322,HMDB0000011,323,Lewy body disease
323,HMDB0000011,324,Eosinophilic esophagitis
324,HMDB0000011,325,Medium Chain Acyl-CoA Dehydrogenase Deficiency
325,HMDB0000011,326,Fumarase deficiency
326,HMDB0000011,327,3-Hydroxyisobutyric acid dehydrogenase deficiency
327,HMDB0000011,328,3-Hydroxydicarboxylic aciduria
328,HMDB0000011,329,Pyruvate carboxylase deficiency
329,HMDB0000011,330,Diabetes mellitus type 2
330,HMDB0000011,331,Obesity
331,HMDB0000011,332,Pancreatic cancer
332,HMDB0000011,333,Colorectal cancer
333,HMDB0000011,334,Schizophrenia
334,HMDB0000011,335,Early preeclampsia
335,HMDB0000011,336,Pregnancy
336,HMDB0000011,337,Late-onset preeclampsia
337,HMDB0000011,338,2-Ketoglutarate dehydrogenase complex deficiency
338,HMDB0000011,339,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
339,HMDB0000011,340,3-Hydroxyacyl-CoA dehydrogenase deficiency
340,HMDB0000011,341,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
341,HMDB0000011,342,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
342,HMDB0000011,343,Ketotic hypoglycemia
343,HMDB0000011,344,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
344,HMDB0000011,345,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
345,HMDB0000011,346,Pyruvate dehydrogenase phosphatase deficiency
346,HMDB0000011,347,Carnitine palmitoyltransferase I deficiency
347,HMDB0000011,348,Anoxia
348,HMDB0000011,349,Meningitis
349,HMDB0000011,350,Ulcerative colitis
350,HMDB0000011,351,Crohn's disease
351,HMDB0000011,352,Alzheimer's disease
352,HMDB0000011,353,Frontotemporal dementia
353,HMDB0000011,354,Lewy body disease
354,HMDB0000011,355,Eosinophilic esophagitis
355,HMDB0000011,356,Medium Chain Acyl-CoA Dehydrogenase Deficiency
356,HMDB0000011,357,Fumarase deficiency
357,HMDB0000011,358,3-Hydroxyisobutyric acid dehydrogenase deficiency
358,HMDB0000011,359,3-Hydroxydicarboxylic aciduria
359,HMDB0000011,360,Pyruvate carboxylase deficiency
360,HMDB0000011,361,Diabetes mellitus type 2
361,HMDB0000011,362,Obesity
362,HMDB0000011,363,Pancreatic cancer
363,HMDB0000011,364,Colorectal cancer
364,HMDB0000011,365,Schizophrenia
365,HMDB0000011,366,Early preeclampsia
366,HMDB0000011,367,Pregnancy
367,HMDB0000011,368,Late-onset preeclampsia
368,HMDB0000011,369,2-Ketoglutarate dehydrogenase complex deficiency
369,HMDB0000011,370,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
370,HMDB0000011,371,3-Hydroxyacyl-CoA dehydrogenase deficiency
371,HMDB0000011,372,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
372,HMDB0000011,373,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
373,HMDB0000011,374,Ketotic hypoglycemia
374,HMDB0000011,375,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
375,HMDB0000011,376,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
376,HMDB0000011,377,Pyruvate dehydrogenase phosphatase deficiency
377,HMDB0000011,378,Carnitine palmitoyltransferase I deficiency
378,HMDB0000011,379,Anoxia
379,HMDB0000011,380,Meningitis
380,HMDB0000011,381,Ulcerative colitis
381,HMDB0000011,382,Crohn's disease
382,HMDB0000011,383,Alzheimer's disease
383,HMDB0000011,384,Frontotemporal dementia
384,HMDB0000011,385,Lewy body disease
385,HMDB0000011,386,Eosinophilic esophagitis
386,HMDB0000011,387,Medium Chain Acyl-CoA Dehydrogenase Deficiency
387,HMDB0000011,388,Fumarase deficiency
388,HMDB0000011,389,3-Hydroxyisobutyric acid dehydrogenase deficiency
389,HMDB0000011,390,3-Hydroxydicarboxylic aciduria
390,HMDB0000011,391,Pyruvate carboxylase deficiency
391,HMDB0000011,392,Diabetes mellitus type 2
392,HMDB0000011,393,Obesity
393,HMDB0000011,394,Pancreatic cancer
394,HMDB0000011,395,Colorectal cancer
395,HMDB0000011,396,Schizophrenia
396,HMDB0000011,397,Early preeclampsia
397,HMDB0000011,398,Pregnancy
398,HMDB0000011,399,Late-onset preeclampsia
399,HMDB0000011,400,2-Ketoglutarate dehydrogenase complex deficiency
400,HMDB0000011,401,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
401,HMDB0000011,402,3-Hydroxyacyl-CoA dehydrogenase deficiency
402,HMDB0000011,403,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
403,HMDB0000011,404,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
404,HMDB0000011,405,Ketotic hypoglycemia
405,HMDB0000011,406,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
406,HMDB0000011,407,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
407,HMDB0000011,408,Pyruvate dehydrogenase phosphatase deficiency
408,HMDB0000011,409,Carnitine palmitoyltransferase I deficiency
409,HMDB0000011,410,Anoxia
410,HMDB0000011,411,Meningitis
411,HMDB0000011,412,Ulcerative colitis
412,HMDB0000011,413,Crohn's disease
413,HMDB0000011,414,Alzheimer's disease
414,HMDB0000011,415,Frontotemporal dementia
415,HMDB0000011,416,Lewy body disease
416,HMDB0000011,417,Eosinophilic esophagitis
417,HMDB0000011,418,Medium Chain Acyl-CoA Dehydrogenase Deficiency
418,HMDB0000011,419,Fumarase deficiency
419,HMDB0000011,420,3-Hydroxyisobutyric acid dehydrogenase deficiency
420,HMDB0000011,421,3-Hydroxydicarboxylic aciduria
421,HMDB0000011,422,Pyruvate carboxylase deficiency
422,HMDB0000011,423,Diabetes mellitus type 2
423,HMDB0000011,424,Obesity
424,HMDB0000011,425,Pancreatic cancer
425,HMDB0000011,426,Colorectal cancer
426,HMDB0000011,427,Schizophrenia
427,HMDB0000011,428,Early preeclampsia
428,HMDB0000011,429,Pregnancy
429,HMDB0000011,430,Late-onset preeclampsia
430,HMDB0000011,431,2-Ketoglutarate dehydrogenase complex deficiency
431,HMDB0000011,432,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
432,HMDB0000011,433,3-Hydroxyacyl-CoA dehydrogenase deficiency
433,HMDB0000011,434,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
434,HMDB0000011,435,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
435,HMDB0000011,436,Ketotic hypoglycemia
436,HMDB0000011,437,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
437,HMDB0000011,438,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
438,HMDB0000011,439,Pyruvate dehydrogenase phosphatase deficiency
439,HMDB0000011,440,Carnitine palmitoyltransferase I deficiency
440,HMDB0000011,441,Anoxia
441,HMDB0000011,442,Meningitis
442,HMDB0000011,443,Ulcerative colitis
443,HMDB0000011,444,Crohn's disease
444,HMDB0000011,445,Alzheimer's disease
445,HMDB0000011,446,Frontotemporal dementia
446,HMDB0000011,447,Lewy body disease
447,HMDB0000011,448,Eosinophilic esophagitis
448,HMDB0000011,449,Medium Chain Acyl-CoA Dehydrogenase Deficiency
449,HMDB0000011,450,Fumarase deficiency
450,HMDB0000011,451,3-Hydroxyisobutyric acid dehydrogenase deficiency
451,HMDB0000011,452,3-Hydroxydicarboxylic aciduria
452,HMDB0000011,453,Pyruvate carboxylase deficiency
453,HMDB0000011,454,Diabetes mellitus type 2
454,HMDB0000011,455,Obesity
455,HMDB0000011,456,Pancreatic cancer
456,HMDB0000011,457,Colorectal cancer
457,HMDB0000011,458,Schizophrenia
458,HMDB0000011,459,Early preeclampsia
459,HMDB0000011,460,Pregnancy
460,HMDB0000011,461,Late-onset preeclampsia
461,HMDB0000011,462,2-Ketoglutarate dehydrogenase complex deficiency
462,HMDB0000011,463,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
463,HMDB0000011,464,3-Hydroxyacyl-CoA dehydrogenase deficiency
464,HMDB0000011,465,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
465,HMDB0000011,466,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
466,HMDB0000011,467,Ketotic hypoglycemia
467,HMDB0000011,468,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
468,HMDB0000011,469,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
469,HMDB0000011,470,Pyruvate dehydrogenase phosphatase deficiency
470,HMDB0000011,471,Carnitine palmitoyltransferase I deficiency
471,HMDB0000011,472,Anoxia
472,HMDB0000011,473,Meningitis
473,HMDB0000011,474,Ulcerative colitis
474,HMDB0000011,475,Crohn's disease
475,HMDB0000011,476,Alzheimer's disease
476,HMDB0000011,477,Frontotemporal dementia
477,HMDB0000011,478,Lewy body disease
478,HMDB0000011,479,Eosinophilic esophagitis
479,HMDB0000011,480,Medium Chain Acyl-CoA Dehydrogenase Deficiency
480,HMDB0000011,481,Fumarase deficiency
481,HMDB0000011,482,3-Hydroxyisobutyric acid dehydrogenase deficiency
482,HMDB0000011,483,3-Hydroxydicarboxylic aciduria
483,HMDB0000011,484,Pyruvate carboxylase deficiency
484,HMDB0000011,485,Diabetes mellitus type 2
485,HMDB0000011,486,Obesity
486,HMDB0000011,487,Pancreatic cancer
487,HMDB0000011,488,Colorectal cancer
488,HMDB0000011,489,Schizophrenia
489,HMDB0000011,490,Early preeclampsia
490,HMDB0000011,491,Pregnancy
491,HMDB0000011,492,Late-onset preeclampsia
492,HMDB0000011,493,2-Ketoglutarate dehydrogenase complex deficiency
493,HMDB0000011,494,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
494,HMDB0000011,495,3-Hydroxyacyl-CoA dehydrogenase deficiency
495,HMDB0000011,496,Long-chain-3-hydroxyacyl CoA dehydrogenase deficiency
496,HMDB0000011,497,Short-chain L-3-hydroxyacyl-CoA dehydrogenase deficiency
497,HMDB0000011,498,Ketotic hypoglycemia
498,HMDB0000011,499,3-Hydroxy-3-methylglutaryl-CoA lyase deficiency
499,HMDB0000011,500,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
500,HMDB0000011,501,Pyruvate dehydrogenase phosphatase deficiency
501,HMDB0000011,502,Carnitine palmitoyltransferase I deficiency
502,HMDB0000011,503,Anoxia
503,HMDB0000011,504,Meningitis
504,HMDB0000011,505,Ulcerative colitis
505,HMDB0000011,506,Crohn's disease
506,HMDB0000011,507,Alzheimer's disease
507,HMDB0000011,508,Frontotemporal dementia
508,HMDB0000011,509,Lewy body disease
509,HMDB0000011,510,Eosinophilic esophagitis
510,HMDB0000011,511,Medium Chain Acyl-CoA Dehydrogenase Deficiency
511,HMDB0000011,512,Fumarase deficiency
