,Name,Accession,Value(uM),Subject Age,Subject Sex,Subject Information
46,Deoxyuridine,HMDB0000012,0.200 (0.100-0.300),Adult (>18 years old),Both,Normal
47,Deoxyuridine,HMDB0000012,0.6 +/- 0.6,Adult (>18 years old),Both,Normal
48,Deoxycytidine,HMDB0000014,0.2 (0.0-0.5),Adult (>18 years old),Both,Normal
49,Cortexolone,HMDB0000015,0.0039 +/- 0.0004,Adult (>18 years old),Both,Normal
50,Cortexolone,HMDB0000015,<0.0250,Not Specified,Both,Normal
51,Cortexolone,HMDB0000015,<0.0600,Newborn (0-30 days old),Both,Normal
52,Deoxycorticosterone,HMDB0000016,0.073 (0.034-0.11),Adult (>18 years old),Female,Normal
53,Deoxycorticosterone,HMDB0000016,0.00009-0.000999,Adult (>18 years old),Female,Normal
54,4-Pyridoxic acid,HMDB0000017,0.027 (0.0062-3.14),Adult (>18 years old),Both,Normal
55,4-Pyridoxic acid,HMDB0000017,0.040 +/- 0.007,Adult (>18 years old),Both,Normal
56,4-Pyridoxic acid,HMDB0000017,0.0071 +/- 0.005,Adult (>18 years old),Female,Normal
57,4-Pyridoxic acid,HMDB0000017,0.0097 +/- 0.00665,Adult (>18 years old),Male,Normal
58,4-Pyridoxic acid,HMDB0000017,,Adult (>18 years old),Both,Normal
59,4-Pyridoxic acid,HMDB0000017,,Adult (>18 years old),Female,Normal
60,alpha-Ketoisovaleric acid,HMDB0000019,14.0 (0.0-28.0),Children (1-13 years old),Both,Normal
61,alpha-Ketoisovaleric acid,HMDB0000019,11.0 +/- 1.7,Adult (>18 years old),Both,Normal
62,alpha-Ketoisovaleric acid,HMDB0000019,,Adult (>18 years old),Female,Normal
63,p-Hydroxyphenylacetic acid,HMDB0000020,6.346 +/- 0.518,Adult (>18 years old),Male,Normal
64,p-Hydroxyphenylacetic acid,HMDB0000020,6.695 +/- 0.555,Adult (>18 years old),Male,Normal
65,p-Hydroxyphenylacetic acid,HMDB0000020,6.387 +/- 0.586,Adult (>18 years old),Male,Normal
66,p-Hydroxyphenylacetic acid,HMDB0000020,7.911 +/- 1,Adult (>18 years old),Male,Normal
67,p-Hydroxyphenylacetic acid,HMDB0000020,6.5 +/- 0.432,Adult (>18 years old),Male,Normal
68,p-Hydroxyphenylacetic acid,HMDB0000020,6.661 +/- 0.692,Adult (>18 years old),Male,Normal
69,p-Hydroxyphenylacetic acid,HMDB0000020,5.791 +/- 0.609,Adult (>18 years old),Male,Normal
70,p-Hydroxyphenylacetic acid,HMDB0000020,42.412 +/- 35.919,Adult (>18 years old),Male,Normal
71,p-Hydroxyphenylacetic acid,HMDB0000020,0.230 (0.070-0.390),Adult (>18 years old),Both,Normal
72,Iodotyrosine,HMDB0000021,0.00069 +/- 0.00020,Adult (>18 years old),Both,Normal
73,3-Methoxytyramine,HMDB0000022,0.0025 (0.0016-0.0029),Adult (>18 years old),Both,Normal
74,(S)-3-Hydroxyisobutyric acid,HMDB0000023,21.0 +/- 2.0,Adult (>18 years old),Both,Normal
75,(S)-3-Hydroxyisobutyric acid,HMDB0000023,20.0 (4.0-48.0),Children (1-13 years old),Both,Normal
76,Ureidopropionic acid,HMDB0000026,,,,Normal
77,Tetrahydrobiopterin,HMDB0000027,0.0110 +/- 0.0008,Adult (>18 years old),Both,Normal
78,Tetrahydrobiopterin,HMDB0000027,0.0093 +/- 0.0005,Adult (>18 years old),Both,Normal
79,Biotin,HMDB0000030,0.0034 (0.002 - 0.0051),Newborn (0-30 days old),Both,Normal
80,Biotin,HMDB0000030,0.0016 (0.0009 - 0.0028),Children (1-13 years old),Not Specified,Normal
81,Biotin,HMDB0000030,0.0024 (0.0008 - 0.0041),Adult (>18 years old),Female,Normal
82,Biotin,HMDB0000030,0.11-0.13,Adult (>18 years old),Both,Normal
83,Biotin,HMDB0000030,0.00127 +/- 0.00067,Adult (>18 years old),Both,Normal
84,Androsterone,HMDB0000031,,Adult (>18 years old),Male,Normal
85,Androsterone,HMDB0000031,0.00065 (0.00053-0.00088),Adult (>18 years old),Both,Normal
86,Androsterone,HMDB0000031,0.12 +/- 0.014,Adult (>18 years old),Male,Normal
87,7-Dehydrocholesterol,HMDB0000032,<0.65,Children (1-13 years old),Male,Normal
88,7-Dehydrocholesterol,HMDB0000032,5.0 +/- 2.2,Adult (>18 years old),Both,Normal
89,Carnosine,HMDB0000033,0.00-0.10,Adult (>18 years old),Both,Normal
90,Carnosine,HMDB0000033,6.54 +/- 1.0,Adult (>18 years old),Both,Normal
91,Carnosine,HMDB0000033,3.1 +/- 7.5,Infant (0-1 year old),Both,Normal
92,Adenine,HMDB0000034,0.3 +/-  0.1,Adult (>18 years old),Both,Normal
93,Adenine,HMDB0000034,0.64 +/- 0.15,Adult (>18 years old),Both,Normal
94,Taurocholic acid,HMDB0000036,0.38 +/- 0.20,Adult (>18 years old),Both,Normal
95,Taurocholic acid,HMDB0000036,0.1(0.1-0.5),Infant (0-1 year old),Both,Normal
96,Aldosterone,HMDB0000037,0.000139-0.00486,Newborn (0-30 days old),Female,Normal
97,Aldosterone,HMDB0000037,0.000026 (0.000008 - 0.000044),Adult (>18 years old),Both,Normal
98,Aldosterone,HMDB0000037,0.00011 (0.000055 -  0.002),Adult (>18 years old),Both,Normal
99,Aldosterone,HMDB0000037,0.000194-0.00305,Not Specified,Not Specified,Normal
100,Aldosterone,HMDB0000037,0.00005549-0.000361,Adolescent (13-18 years old),Not Specified,Normal
101,Aldosterone,HMDB0000037,0.000282 +/- 0.000037,Elderly (>65 years old),Both,Normal
102,Aldosterone,HMDB0000037,0.000263 +/- 0.000014,Adult (>18 years old),Both,Normal
103,Aldosterone,HMDB0000037,0.00042 +/- 0.00004,Elderly (>65 years old),Both,Normal
104,Aldosterone,HMDB0000037,0.000055 - 0.000500,Adult (>18 years old),Female,Normal
105,Aldosterone,HMDB0000037,<0.000444,Not Specified,Not Specified,Normal
106,Aldosterone,HMDB0000037,0.000106-0.000869,Infant (0-1 year old),Not Specified,Normal
107,Aldosterone,HMDB0000037,0.00002774-0.000444,Infant (0-1 year old),Not Specified,Normal
108,Aldosterone,HMDB0000037,0.000139-0.00250,Infant (0-1 year old),Not Specified,Normal
109,Aldosterone,HMDB0000037,0.0000010-0.00000666,Not Specified,Female,Normal
110,Aldosterone,HMDB0000037,0.000391-0.00309,Newborn (0-30 days old),Both,Normal
111,Aldosterone,HMDB0000037,<0.000860,Not Specified,Not Specified,Normal
112,Dihydrobiopterin,HMDB0000038,0.006 +/- 0.0003,Adult (>18 years old),Both,Normal
113,Butyric acid,HMDB0000039,1.0 (0.3- 1.5),Adult (>18 years old),Both,Normal
114,Acetic acid,HMDB0000042,30.4 (22.0-40.0),Adult (>18 years old),Both,Normal
115,Acetic acid,HMDB0000042,69.14(30.49),Adult (>18 years old),Both,Normal
116,Acetic acid,HMDB0000042,26.8-64.2,Adult (>18 years old),Both,Normal
117,Acetic acid,HMDB0000042,41.9 +/- 15.1,Adult (>18 years old),Both,Normal
118,Betaine,HMDB0000043,26-67,Adult (>18 years old),Not Specified,Normal
119,Betaine,HMDB0000043,20-285,Adult (>18 years old),Not Specified,Normal
120,Betaine,HMDB0000043,33.6 (23.9-42.1),Adult (>18 years old),Both,Normal
121,Betaine,HMDB0000043,82.0 (20.0-144.0),Adult (>18 years old),Both,Normal
122,Betaine,HMDB0000043,56.99 +/- 15.35,Adult (>18 years old),Both,Normal
123,Betaine,HMDB0000043,54.77(15.5),Adult (>18 years old),Both,Normal
124,Betaine,HMDB0000043,20.00-144.0,Adult (>18 years old),Both,Normal
125,Betaine,HMDB0000043,72 +/- 22.4,Adult (>18 years old),Both,Normal
126,Ascorbic acid,HMDB0000044,88.6 (21.0 - 171.0),Children (1-13 years old),Not Specified,Normal
127,Ascorbic acid,HMDB0000044,60.8 +/- 15.9,Adult (>18 years old),Not Specified,Normal
128,Ascorbic acid,HMDB0000044,51.0 (11.0 - 125.0),Newborn (0-30 days old),Not Specified,Normal
129,Ascorbic acid,HMDB0000044,36.0 +/- 18.0,Adult (>18 years old),Both,Normal
130,Ascorbic acid,HMDB0000044,63.0 (11.0-114.0),Adult (>18 years old),Both,Normal
131,Ascorbic acid,HMDB0000044,8.19,Adult (>18 years old),Both,Normal
132,Ascorbic acid,HMDB0000044,48.829 +/- 23.847,Adult (>18 years old),Both,Normal
133,Ascorbic acid,HMDB0000044,9.06,Adult (>18 years old),Both,Normal
134,Ascorbic acid,HMDB0000044,35.4-80.1,Adult (>18 years old),Female,Normal
135,Ascorbic acid,HMDB0000044,22.2 (14.0-40.0),Adult (>18 years old),Both,Normal
136,Ascorbic acid,HMDB0000044,27.0 (11.1-49.7),Adult (>18 years old),Male,Normal
137,Ascorbic acid,HMDB0000044,50.9 (35.4-80.1),Adult (>18 years old),Female,Normal
138,Adenosine monophosphate,HMDB0000045,5.1+/- 1.3,Adult (>18 years old),Female,Normal
139,Adenosine monophosphate,HMDB0000045,51.0 (10.0-92.0),Adult (>18 years old),Both,Normal
140,Adenosine monophosphate,HMDB0000045,14.0 +/- 3.0,Adult (>18 years old),Male,Normal
141,Adenosine monophosphate,HMDB0000045,6.2 +/- 3.1,Adult (>18 years old),Male,Normal
142,Adenosine,HMDB0000050,0.505 +/- 0.142,Adult (>18 years old),Both,Normal
143,Adenosine,HMDB0000050,5.66 +/- 1.71,Adult (>18 years old),Both,Normal
144,Adenosine,HMDB0000050,0.285 +/- 0.060,Adult (>18 years old),Both,Normal 
145,Adenosine,HMDB0000050,0.2 (0.1-0.3),Adult (>18 years old),Both,Normal
146,Adenosine,HMDB0000050,0.0425 +/- 0.0029,Adult (>18 years old),Both,Normal
147,Adenosine,HMDB0000050,0.31 +/- 0.29,Adult (>18 years old),Both,Normal
148,Ammonia,HMDB0000051,<50,Children (1-13 years old),Not Specified,Normal
149,Ammonia,HMDB0000051,15-35,Children (1-13 years old),Not Specified,Normal
150,Ammonia,HMDB0000051,<60,Infant (0-1 year old),Not Specified,Normal
151,Ammonia,HMDB0000051,<54,Children (1-13 years old),Not Specified,Normal
152,Ammonia,HMDB0000051,22-48,Children (1-13 years old),Not Specified,Normal
153,Ammonia,HMDB0000051,<50,Children (1-13 years old),Not Specified,Normal
154,Ammonia,HMDB0000051,15-45,Children (1-13 years old),Not Specified,Normal
155,Ammonia,HMDB0000051,21-50,Children (1-13 years old),Not Specified,Normal
156,Ammonia,HMDB0000051,<4.404,Adult (>18 years old),Both,Normal
157,Ammonia,HMDB0000051,<50,Infant (0-1 year old),Male,Normal
158,Ammonia,HMDB0000051,14-50,Infant (0-1 year old),Both,Normal
159,Ammonia,HMDB0000051,27.5 +/- 3.6,Newborn (0-30 days old),Both,Normal
160,Ammonia,HMDB0000051,17-47,Children (1-13 years old),Both,Normal
161,Ammonia,HMDB0000051,18 - 74,Infant (0-1 year old),Male,Normal
162,Ammonia,HMDB0000051,5.872-35.231,Children (1 - 13 years old),Both,Normal
163,Ammonia,HMDB0000051,13.000-42.000,Not Specified,Not Specified,Normal
164,Ammonia,HMDB0000051,29.0 (10.0-47.0),Adult (>18 years old),Both,Normal
165,Ammonia,HMDB0000051,40.0 (0 - 80.0),Adult (>18 years old),Both,Normal
166,Ammonia,HMDB0000051,Nov-32,Not Specified,Not Specified,Normal
167,Ammonia,HMDB0000051,29.0 (13.0 - 46.0),Adult (>18 years old),Both,Normal
168,Ammonia,HMDB0000051,35.0 (20.0 - 58.0),Adult (>18 years old),Male,Normal
169,Ammonia,HMDB0000051,29.0 (17.0 - 51.0),Adult (>18 years old),Female,Normal
170,Ammonia,HMDB0000051,1467.955 (763.336-2231.291),Children (1 - 13 years old),Not Specified,Normal
171,Ammonia,HMDB0000051,Sep-33,Adolescent (13-18 years old),Male,Normal
172,Argininosuccinic acid,HMDB0000052,<2,Infant (0-1 year old),Male,Normal
173,Argininosuccinic acid,HMDB0000052,0-5,Newborn (0-30 days old),Both,Normal
174,Argininosuccinic acid,HMDB0000052,0-5,Infant (1 - 3 months old),Both,Normal
175,Argininosuccinic acid,HMDB0000052,0-5,Children (3 months - 6 years old),Both,Normal
176,Argininosuccinic acid,HMDB0000052,0-5,Children (6 - 18 years old),Both,Normal
177,Argininosuccinic acid,HMDB0000052,0-1,Children (1 - 13 years old),Both,Normal
178,Androstenedione,HMDB0000053,0.000698,Newborn (0-30 days old),Female,Normal
179,Androstenedione,HMDB0000053,0.00244-0.00768,Not Specified,Not Specified,Normal
180,Androstenedione,HMDB0000053,<0.0140,Infant (0-1 year old),Not Specified,Normal
181,Androstenedione,HMDB0000053,0.00489 +/- 0.00196,Adult (>18 years old),Female,Normal
182,Androstenedione,HMDB0000053,0.0059 (0.0023-0.0094),Adult (>18 years old),Both,Normal
183,Androstenedione,HMDB0000053,0.00315 (0.00000-0.00630),Adult (>18 years old),Female,Normal
184,Androstenedione,HMDB0000053,,Adult (>18 years old),Male,Normal
185,Androstenedione,HMDB0000053,0.00524 +/- 0.00140,Adult (>18 years old),Female,Normal
186,Androstenedione,HMDB0000053,0.000978-0.00803,Adult (>18 years old),Both,Normal
187,Androstenedione,HMDB0000053,0.00061 +/- 0.00022,Adult (>18 years old),Female,Normal
188,Androstenedione,HMDB0000053,<0.00100,Not Specified,Both,Normal
189,Androstenedione,HMDB0000053,0.0022 (0.0010-0.0034),Children (1-13 years old),Both,Normal
190,Androstenedione,HMDB0000053,0.005 (0.0024-0.0070),Adolescent (13-18 years old),Female,Normal
191,Androstenedione,HMDB0000053,0.0040 (0.0013-0.0066),Children (1-13 years old),Female,Normal
192,Androstenedione,HMDB0000053,0.001 (0.00034-0.00170),Children (1-13 years old),Female,Normal
193,Androstenedione,HMDB0000053,0.0057 (0.00069-0.01),Adult (>18 years old),Female,Normal
194,Bilirubin,HMDB0000054,13.0 (5.0-21.0),Adult (>18 years old),Both,Normal
195,Bilirubin,HMDB0000054,15.2 +/- 2.0,Adult (>18 years old),Both,Normal
196,Bilirubin,HMDB0000054,<12.828,Adult (>18 years old),Both,Normal
197,Bilirubin,HMDB0000054,<12,Newborn (0-30 days old),Not Specified,Normal
198,Bilirubin,HMDB0000054,<3.4,Children (1-13 years old),Not Specified,Normal
199,Bilirubin,HMDB0000054,21-Mar,Newborn (0-30 days old),Not Specified,Normal
200,Bilirubin,HMDB0000054,<20,Children (1-13 years old),Not Specified,Normal
201,Bilirubin,HMDB0000054,8.0 +/- 0.9,Adult (>18 years old),Both,Normal
202,Bilirubin,HMDB0000054,310.265 +/- 65.850,Newborn (0-30 days old),Not Specified,Normal
203,Bilirubin,HMDB0000054,6.842-20.525,Children (1-13 years old),Not Specified,Normal
204,Bilirubin,HMDB0000054,5.131-17.104,Adult (>18 years old),Both,Normal
205,Bilirubin,HMDB0000054,5.10-18.0,Adult (>18 years old),Both,Normal
206,Bilirubin,HMDB0000054,<17,Children (1 - 13 years old),,Normal
207,Bilirubin,HMDB0000054,8.500 +/- 4,Adult (>18 years old),Not Specified,Normal
208,Bilirubin,HMDB0000054,,Adult (>18 years old),Both,Normal
209,beta-Alanine,HMDB0000056,3.0 (1.3-20.0),Adult (>18 years old),Both,Normal
210,beta-Alanine,HMDB0000056,3.8 +/- 2.9,Adult (>18 years old),Both,Normal
211,beta-Alanine,HMDB0000056,1.76 +/- 0.74,Adult (>18 years old),Female,Normal
212,beta-Alanine,HMDB0000056,3.0 +/- 0.85,Adult (>18 years old),Male,Normal
213,beta-Alanine,HMDB0000056,3.00 +/- 0.85,Adult (>18 years old),Male,Normal
214,beta-Alanine,HMDB0000056,1.76 +/- 0.74,Adult (>18 years old),Female,Normal
215,beta-Alanine,HMDB0000056,3.0 +/- 0.85,Adult (>18 years old),Male,Normal
216,beta-Alanine,HMDB0000056,1.76 +/- 0.74,Adult (>18 years old),Female,Normal
217,Cyclic AMP,HMDB0000058,0.0085 +/- 0.0005,Adult (>18 years old),Both,Normal
218,Acetoacetic acid,HMDB0000060,21.0 (0.0-86.0),Adult (>18 years old),Both,Normal
219,Acetoacetic acid,HMDB0000060,,Adult (>18 years old),Both,Normal
220,Acetoacetic acid,HMDB0000060,37.75(25.96),Adult (>18 years old),Both,Normal
221,Acetoacetic acid,HMDB0000060,30-1400,Not Specified,Not Specified,Normal
222,Acetoacetic acid,HMDB0000060,0.0-86.0,Adult (>18 years old),Both,Normal
223,Acetoacetic acid,HMDB0000060,<150,Infant (0-1 year old),Not Specified,Normal
224,Acetoacetic acid,HMDB0000060,20-90,Infant (0-1 year old),Not Specified,Normal
225,Acetoacetic acid,HMDB0000060,40.6 +/- 36.5,Adult (>18 years old),Both,Normal
226,L-Carnitine,HMDB0000062,29.74 +/- 7.55,Adult (>18 years old),Both,Normal
227,L-Carnitine,HMDB0000062,25-88,Not Specified,Not Specified,Normal
228,L-Carnitine,HMDB0000062,28.500-109,Infant (0-1 year old),Not Specified,Normal
229,L-Carnitine,HMDB0000062,25.4-54.1,Adult (>18 years old),Female,Normal
230,L-Carnitine,HMDB0000062,40-60,Infant (0-1 year old),Not Specified,Normal
231,L-Carnitine,HMDB0000062,26-66,Infant (0-1 year old),Not Specified,Normal
232,L-Carnitine,HMDB0000062,28-47,Infant (0-1 year old),Not Specified,Normal
233,L-Carnitine,HMDB0000062,26-66,Children (1-13 years old),Not Specified,Normal
234,L-Carnitine,HMDB0000062,37-58,Infant (0-1 year old),Not Specified,Normal
235,L-Carnitine,HMDB0000062,50 +/- 30,Children (1-13 years old),Not Specified,Normal
236,L-Carnitine,HMDB0000062,>25,Infant (0-1 year old),Not Specified,Normal
237,L-Carnitine,HMDB0000062,26-70,Children (1-13 years old),Not Specified,Normal
238,L-Carnitine,HMDB0000062,33.6 +/- 6.2,Children (1-13 years old),Both,Normal
239,L-Carnitine,HMDB0000062,38.2 +/- 5.4,Adult (>18 years old),Female,Normal
240,L-Carnitine,HMDB0000062,15.5 (13.2-17.7),Newborn (0-30 days old),,Normal
241,L-Carnitine,HMDB0000062,16.28 +/- 8.41,Children (1-13 years old),Both,Normal
242,L-Carnitine,HMDB0000062,14.60 +/- 5.43,Children (1-13 years old),Both,Normal
243,L-Carnitine,HMDB0000062,43.0 (26.0-79.0),Adult (>18 years old),Both,Normal
244,L-Carnitine,HMDB0000062,41.2 (35.5-47.5),Infant (0-1 year old),,Normal
245,L-Carnitine,HMDB0000062,43.57(9.97),Adult (>18 years old),Both,Normal
246,L-Carnitine,HMDB0000062,39.33(13.25),Adult (>18 years old),Both,Normal
247,L-Carnitine,HMDB0000062,40.430 +/- 3.650,Children (1-13 years old),Not Specified,Normal
248,L-Carnitine,HMDB0000062,19.0-65.0,Adult (>18 years old),Both,Normal
249,L-Carnitine,HMDB0000062,35-75,Not Specified,Not Specified,Normal
250,L-Carnitine,HMDB0000062,35.3 +/- 7.0,Adult (>18 years old),Both,Normal
251,L-Carnitine,HMDB0000062,45.7 +/- 11.6,Adult (>18 years old),Both,Normal
252,Cortisol,HMDB0000063,0.287 +/- 0.099,Adult (>18 years old),Both,Normal
253,Cortisol,HMDB0000063,0.0130-0.340,Newborn (2 - <15 days old),Both,Normal
254,Cortisol,HMDB0000063,0.014-0.46,Infant (15 days - <1 year old),Both,Normal
255,Cortisol,HMDB0000063,0.048-0.30,Children (1 - <9 years old),Both,Normal
256,Cortisol,HMDB0000063,0.060-0.35,Children (9 - <14 years old),Both,Normal
257,Cortisol,HMDB0000063,0.077-0.45,Adolescent (14 - <17 years old),Both,Normal
258,Cortisol,HMDB0000063,0.097-0.51,Adolescent (17 - <19 years old),Both,Normal
259,Cortisol,HMDB0000063,0.150-0.650,Adult (>18 years old),Not Specified,Normal
260,Cortisol,HMDB0000063,0.028-0.634,Newborn (0-30 days old),Male,Normal
261,Cortisol,HMDB0000063,0.32 +/- 0.19,Adult (>18 years old),Both,Normal
262,Cortisol,HMDB0000063,0.221-0.690,Not Specified,Not Specified,Normal
263,Cortisol,HMDB0000063,,Adult (>18 years old),Male,Normal
264,Cortisol,HMDB0000063,0.199 (0.058-0.475),Infant (0-1 year old),Both,Normal
265,Cortisol,HMDB0000063,0.359 (0.130-0.519),Infant (0-1 year old),Both,Normal
266,Cortisol,HMDB0000063,0.171 +/- 0.0662,Adult (>18 years old),Female,Normal
267,Cortisol,HMDB0000063,0.427 (0.110-0.744),Infant (0-1 year old),Both,Normal
268,Cortisol,HMDB0000063,0.386 (0.100-0.671),Infant (0-1 year old),Both,Normal
269,Cortisol,HMDB0000063,0.348 (0.090-0.605),Infant (0-1 year old),Both,Normal
270,Cortisol,HMDB0000063,0.313 (0.081-0.545),Infant (0-1 year old),Both,Normal
271,Cortisol,HMDB0000063,0.282 (0.073-0.491),Infant (0-1 year old),Both,Normal
272,Cortisol,HMDB0000063,0.255 (0.066-0.443),Infant (0-1 year old),Both,Normal
273,Cortisol,HMDB0000063,0.171-0.538,Not Specified,Not Specified,Normal
274,Cortisol,HMDB0000063,0083-0.635,Infant (0-1 year old),Not Specified,Normal
275,Cortisol,HMDB0000063,0.07-0.55,Children (1 - 13 years old),Both,Normal
276,Cortisol,HMDB0000063,0.138-0.690,Not Specified,Not Specified,Normal
277,Cortisol,HMDB0000063,0.46 +/- 0.30,Adult (>18 years old),Both,Normal
278,Cortisol,HMDB0000063,0.260-0.719,Adult (>18 years old),Not Specified,Normal
279,Cortisol,HMDB0000063,0.14 (0.0-0.28),Adult (>18 years old),Both,Normal
280,Creatine,HMDB0000064,54.8 +/-  21.0,Adult (>18 years old),Female,Normal
281,Creatine,HMDB0000064,87 +/- 19,Adult (>18 years old),Not Specified,Normal
282,Creatine,HMDB0000064,30.1 +/- 12.3,Adult (>18 years old),Male,Normal
283,Creatine,HMDB0000064,Oct-44,Not Specified,Not Specified,Normal
284,Creatine,HMDB0000064,30-80,Not Specified,Not Specified,Normal
285,Creatine,HMDB0000064,May-50,Children (1-13 years old),Not Specified,Normal
286,Creatine,HMDB0000064,17-109,Children (1-13 years old),Not Specified,Normal
287,Creatine,HMDB0000064,84.0 +/- 23.2,Newborn (0-30 days old),Not Specified,Normal
288,Creatine,HMDB0000064,53.0 (17.0 - 82.0),Children (1-13 years old),Not Specified,Normal
289,Creatine,HMDB0000064,32.22 +/- 16.42,Adult (>18 years old),Both,Normal
290,Creatine,HMDB0000064,74.0458 +/- 25.191,Adult (>18 years old),Both,Normal
291,Creatine,HMDB0000064,50.77(21.53),Adult (>18 years old),Both,Normal
292,Creatine,HMDB0000064,33.8-75.8,Adult (>18 years old),Both,Normal
293,Creatine,HMDB0000064,36.7 +/- 28.3,Adult (>18 years old),Both,Normal
294,Creatine,HMDB0000064,,Adult (>18 years old),Female,Normal
295,Creatine,HMDB0000064,,Adult (>18 years old),Female,Normal
296,Creatine,HMDB0000064,,Children (1-13 years old),Male,Normal
297,Cholesterol,HMDB0000067,>6207.108,Adult (>18 years old),Both,Normal
298,Cholesterol,HMDB0000067,<4400,Not Specified,Not Specified,Normal
299,Cholesterol,HMDB0000067,1189.70-3232.87,Newborn (0 - <14 days old),Female,Normal
300,Cholesterol,HMDB0000067,1655.23-6129.52,Infant (15 days - <1 year old),Both,Normal
301,Cholesterol,HMDB0000067,2896.65-5379.49,Children (1 - <19 years old),Both,Normal
302,Cholesterol,HMDB0000067,1086.24-2819.062,Newborn (0 - <14 days old),Male,Normal
