,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
56,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Pancreatic cancer
57,3-Hydroxybutyric acid,HMDB0000011,33.63 (42.57) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
58,3-Hydroxybutyric acid,HMDB0000011,30.15 (37.69) ,Adult (>18 years old),Female,Pregnancy
59,3-Hydroxybutyric acid,HMDB0000011,29.61(44.27),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
60,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,Schizophrenia
61,3-Hydroxybutyric acid,HMDB0000011,49.9 (46.7) ,Adult (>18 years old),Female,Late-onset preeclampsia
62,3-Hydroxybutyric acid,HMDB0000011,29.7 (19.1) ,Adult (>18 years old),Female,Pregnancy
63,3-Hydroxybutyric acid,HMDB0000011,130 +/- 80,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
64,3-Hydroxybutyric acid,HMDB0000011,300 +/- 390,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
65,3-Hydroxybutyric acid,HMDB0000011,300 +/- 200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
66,3-Hydroxybutyric acid,HMDB0000011,250 +/- 160,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
67,3-Hydroxybutyric acid,HMDB0000011,,Adult (>18 years old),Both,By NMR. Significantly decreased vs control.
68,3-Hydroxybutyric acid,HMDB0000011,1400.0 +/- 100.0,Adult (>18 years old),Both,Diabetes
69,3-Hydroxybutyric acid,HMDB0000011,7700.0 +/- 200.0,Adult (>18 years old),Both,Diabetes
70,3-Hydroxybutyric acid,HMDB0000011,5700 (4300-6000),Adult (>18 years old),Both,Diabetic ketoacidosis
71,3-Hydroxybutyric acid,HMDB0000011,20-50,Children (1-13 years old),Male,3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency
72,Deoxyuridine,HMDB0000012,20,Adult (>18 years old),Male,Thymidine phosphorylase deficiency
73,Cortexolone,HMDB0000015,1.3,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency
74,Cortexolone,HMDB0000015,1.84,Infant (0-1 year old),Female,11-beta-hydroxylase deficiency
75,Cortexolone,HMDB0000015,0.00790-0.329,Children (1-13 years old),Both,11-beta-hydroxylase deficiency
76,Deoxycorticosterone,HMDB0000016,0.00118,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency"
77,4-Pyridoxic acid,HMDB0000017,,Adult (>18 years old),Both,Colorectal adenoma 
78,alpha-Ketoisovaleric acid,HMDB0000019,10.7 +/- 5.5,Adult (>18 years old),Both,Heart Transplant
79,alpha-Ketoisovaleric acid,HMDB0000019,237,Children (1-13 years old),Female,Maple syrup urine disease
80,p-Hydroxyphenylacetic acid,HMDB0000020,,Adult (>18 years old),Female,Breast cancer
81,Iodotyrosine,HMDB0000021,0.00032 +/- 0.00008,Adult (>18 years old),Both,Athyroic patients 
82,(S)-3-Hydroxyisobutyric acid,HMDB0000023,38.0 +/- 5.0,Adult (>18 years old),Both,Diabetes 
83,Tetrahydrobiopterin,HMDB0000027,0.16 (0.0-5.8),Adult (>18 years old),Both,Septic shock
84,Tetrahydrobiopterin,HMDB0000027,1.2 (0.8-14.9),Adult (>18 years old),Both,Septic shock
85,Tetrahydrobiopterin,HMDB0000027,0.0099 +/- 0.0008,Adult (>18 years old),Both,Smoking
86,Tetrahydrobiopterin,HMDB0000027,0.0044 +/- 0.0007,Adult (>18 years old),Both,Myocardial infarction
87,Androsterone,HMDB0000031,,Adult (>18 years old),Male,Schizophrenia
88,7-Dehydrocholesterol,HMDB0000032,0.21,Children (1-13 years old),Male,Lathosterolosis
89,7-Dehydrocholesterol,HMDB0000032,369.0 (46.0 - 1220.0),Adult (>18 years old),Both,Smith-Lemli-Opitz syndrome
90,Carnosine,HMDB0000033,3.28 +/- 0.91,Elderly (>65 years old),Both,Alzheimer's disease
91,Adenine,HMDB0000034,0.5 +/- 0.3,Adult (>18 years old),Both,Solid tumors
92,Taurocholic acid,HMDB0000036,9.8 +/- 1.9,Infant (0-1 year old),Both,GI disorder
93,Taurocholic acid,HMDB0000036,5.6 +/- 1.6,Infant (0-1 year old),Both,GI disorder
94,Taurocholic acid,HMDB0000036,1.2 +/- 0.5,Infant (0-1 year old),Both,GI disorder
95,Taurocholic acid,HMDB0000036,0.2 +/- 0.1,Infant (0-1 year old),Both,GI disorder
96,Taurocholic acid,HMDB0000036,0.8(0.3-2.7),Infant (0-1 year old),Both,Severe acute malnutrition
97,Taurocholic acid,HMDB0000036,,Adult (>18 years old),Both,Hepatocellular carcinoma 
98,Taurocholic acid,HMDB0000036,,Adult (>18 years old),Both,Liver Cirrhosis
99,Aldosterone,HMDB0000037,0.0416,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
100,Aldosterone,HMDB0000037,0.0204-0.0735,Children (1-13 years old),Female,"Bartter Syndrome, Type 4B, Neonatal, With Sensorineural Deafness"
101,Aldosterone,HMDB0000037,0.0013,Adolescent (13-18 years old),Female,"Renal tubular acidosis, proximal, with ocular abnormalities and mental retardation"
102,Aldosterone,HMDB0000037,0.00041 +/- 0.00005,Adult (>18 years old),Both,Heart failure
103,Aldosterone,HMDB0000037,>0.00333,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 2, Antenatal"
104,Aldosterone,HMDB0000037,0.000145-0.00499,Infant (0-1 year old),Both,Congenital chloride diarrhea
105,Aldosterone,HMDB0000037,0.0000777,Infant (0-1 year old),Female,Corticosterone methyloxidase I deficiency- CMO I
106,Aldosterone,HMDB0000037,0.000011,Adolescent (13-18 years old),Female,"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency"
107,Aldosterone,HMDB0000037,<0.000069,Adult (>18 years old),Male,Glucocorticoid resistance
108,Aldosterone,HMDB0000037,<0.000069,Infant (0-1 year old),Female,Lipoid Adrenal Hyperplasia
109,Aldosterone,HMDB0000037,0.000454,Infant (0-1 year old),Not Specified,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"
110,Aldosterone,HMDB0000037,>0.00415,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"
111,Aldosterone,HMDB0000037,0.000233 +/- 0.000040,Adult (>18 years old),Both,Heart failure
112,Aldosterone,HMDB0000037,0.00361,Newborn (0-30 days old),Female,"Bartter Syndrome, Type 1, Antenatal"
113,Aldosterone,HMDB0000037,0.00155,Adult (>18 years old),Male,"Bartter Syndrome, Type 4A, Neonatal, with Sensorineural Deafness"
114,Aldosterone,HMDB0000037,0.000128,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"
115,Dihydrobiopterin,HMDB0000038,0.0635 +/- 0.0041,Adult (>18 years old),Both,Kidney disease
116,Acetic acid,HMDB0000042,42.2 +/- 17.3,Adult (>18 years old),Both,Heart Transplant
117,Acetic acid,HMDB0000042,28.26 +/- 12.83 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
118,Acetic acid,HMDB0000042,22.9 +/- 31.703 ,Adult (>18 years old),Female,Pregnancy
119,Acetic acid,HMDB0000042,17.9 (6.0) ,Adult (>18 years old),Female,Early preeclampsia
120,Acetic acid,HMDB0000042,48.4 (50.4),Adult (>18 years old),Female,Pregnancy
121,Acetic acid,HMDB0000042,,Adult (>18 years old),Both,Colorectal cancer
122,Acetic acid,HMDB0000042,25.69 (7.99) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
123,Acetic acid,HMDB0000042,29.85 (8.26) ,Adult (>18 years old),Female,Pregnancy
124,Acetic acid,HMDB0000042,80.6 (101.5) ,Adult (>18 years old),Female,Late-onset preeclampsia
125,Acetic acid,HMDB0000042,48.55(36.76),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
126,Acetic acid,HMDB0000042,49.1 (52.5) ,Adult (>18 years old),Female,Pregnancy
127,Acetic acid,HMDB0000042,27.5 (17.6) ,Adult (>18 years old),Female,Down syndrome pregnancy
128,Acetic acid,HMDB0000042,30.1 (22.6) ,Adult (>18 years old),Female,Pregnancy
129,Betaine,HMDB0000043,42.1 +/- 19.3,Adult (>18 years old),Both,Heart Transplant
130,Betaine,HMDB0000043,211,Children (1-13 years old),Male,Hypermethioninemia
131,Betaine,HMDB0000043,129,Adult (>18 years old),Male,Dimethylglycinuria
132,Betaine,HMDB0000043,32.5 (23.9-42.5),Adult (>18 years old),Both,Chronic renal failure
133,Betaine,HMDB0000043,25.6 (23.4-36.6),Adult (>18 years old),Both,Continuous ambulatory peritoneal dialysis (CAPD)
134,Betaine,HMDB0000043,31.9 (28.3-36.2),Adult (>18 years old),Both,Hemodialysis
135,Betaine,HMDB0000043,26.51 +/- 11.92 ,Adult (>18 years old),Female,Pregnancy with fetuses with trisomy 18
136,Betaine,HMDB0000043,25.27 +/- 10.03 ,Adult (>18 years old),Female,Pregnancy
137,Betaine,HMDB0000043,29.2 (6.9) ,Adult (>18 years old),Female,Early preeclampsia
138,Betaine,HMDB0000043,25.8 (8.8) ,Adult (>18 years old),Female,Pregnancy
139,Betaine,HMDB0000043,,Adult (>18 years old),Both,Colorectal cancer
140,Betaine,HMDB0000043,43.00 +/- 12.34,Adult (>18 years old),Both,Schizophrenia
141,Betaine,HMDB0000043,,Adult (>18 years old),Both,Pancreatic Cancer 
142,Betaine,HMDB0000043,21.99 (7.84) ,Adult (>18 years old),Female,Pregnancy with fetus having congenital heart defect
143,Betaine,HMDB0000043,20.05 (8.39) ,Adult (>18 years old),Female,Pregnancy
144,Betaine,HMDB0000043,33.3 (23.6) ,Adult (>18 years old),Female,Late-onset preeclampsia
145,Betaine,HMDB0000043,62.92(17.18),Adult (>18 years old),Both,Heart failure with preserved ejection fraction
146,Betaine,HMDB0000043,21.6 (9.4) ,Adult (>18 years old),Female,Pregnancy
147,Betaine,HMDB0000043,70.68(28.54),Adult (>18 years old),Both,Heart failure with reduced ejection fraction
148,Betaine,HMDB0000043,25.4 (5.5) ,Adult (>18 years old),Female,Down syndrome pregnancy
149,Betaine,HMDB0000043,27.0 (8.9) ,Adult (>18 years old),Female,Pregnancy
150,Ascorbic acid,HMDB0000044,39.0 +/- 92.7,Adult (>18 years old),Both,Hyperoxalemia
151,Ascorbic acid,HMDB0000044,6.5 +/- 18.6,Adult (>18 years old),Both,Hyperoxalemia
152,Ascorbic acid,HMDB0000044,82.57 +/- 36.71,Adult (>18 years old),Both,Canavan disease
153,Adenosine,HMDB0000050,0.126  +/-  0.018,Adult (>18 years old),Both,Septic shock
154,Ammonia,HMDB0000051,94,Children (1-13 years old),Male,Argininosuccinic aciduria (ASL)
155,Ammonia,HMDB0000051,62,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL)
156,Ammonia,HMDB0000051,52.846,Children (1-13 years old),Female,Dibasic Amino Aciduria I
157,Ammonia,HMDB0000051,75-92,Adolescent (13-18 years old),Female,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
158,Ammonia,HMDB0000051,15.6 +/- 13.5,Children (1-13 years old),Female,Pearson Syndrome
159,Ammonia,HMDB0000051,60-120,Children (1-13 years old),Both,"Cutis laxa, autosomal recessive, type IIIA"
160,Ammonia,HMDB0000051,111-122,Children (1-13 years old),Female,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration"
161,Ammonia,HMDB0000051,140-503,Infant (0-1 year old),,Mitochondrial trifunctional protein deficiency
162,Ammonia,HMDB0000051,70,Children (1-13 years old),,Pyruvate carboxylase deficiency
163,Ammonia,HMDB0000051,1100.0 (200.0-2000.0),Children (1-13 years old),Both,Argininosuccinic aciduria (ASL)
164,Ammonia,HMDB0000051,61-164,Adult (>18 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
165,Ammonia,HMDB0000051,268,Infant (0-1 year old),,Pyruvate carboxylase deficiency
166,Ammonia,HMDB0000051,40-145,Children (1-13 years old),Both,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
167,Ammonia,HMDB0000051,234,Children (1-13 years old),Female,Carnitine palmitoyltransferase deficiency I
168,Ammonia,HMDB0000051,82-209,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2
169,Ammonia,HMDB0000051,65-145,Children (1-13 years old),Female,Cerebral creatine deficiency syndrome 2
170,Ammonia,HMDB0000051,66-86,Infant (0-1 year old),Female,Infantile Liver Failure Syndrome 2
171,Ammonia,HMDB0000051,138,Infant (0-1 year old),Female,"Metabolic encephalomyopathic crises, recurrent, with rhabdomyolysis, cardiac arrhythmias, and neurodegeneration"
172,Ammonia,HMDB0000051,338,Infant (0-1 year old),Female,"Long-chain Fatty Acids, Defect in Transport of"
173,Ammonia,HMDB0000051,110-270,Newborn (0-30 days old),Male,Narp Syndrome
174,Ammonia,HMDB0000051,25-30,Children (1-13 years old),Both,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic"
175,Ammonia,HMDB0000051,146,Newborn (0-30 days old),Male,"Phosphoenolpyruvate Carboxykinase Deficiency 1, Cytosolic"
176,Ammonia,HMDB0000051,1.703-14.0336,Adult (>18 years old),Both,"Citrullinemia type II, adult-onset"
177,Ammonia,HMDB0000051,49,Infant (0-1 year old),Male,Sulfite oxidase deficiency
178,Ammonia,HMDB0000051,13446.464-63415.637,Children (1 - 13 years old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
179,Ammonia,HMDB0000051,139 - 299,Infant (0-1 year old),Male,Fumaric aciduria
180,Ammonia,HMDB0000051,231(96-780),Adult (>18 years old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
181,Ammonia,HMDB0000051,27-246,Children (1-13 years old),Male,N-acetylglutamate synthetase deficiency
182,Ammonia,HMDB0000051,27.0104-572.502,Children (1 - 13 years old),Both,Citrullinemia Type I
183,Ammonia,HMDB0000051,85-835,Infant (0-1 year old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
184,Ammonia,HMDB0000051,105-500,Newborn (0-30 days old),Both,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
185,Ammonia,HMDB0000051,44-84,Infant (0-1 year old),Male,3-Hydroxyacyl-CoA dehydrogenase deficiency (SCHAD)
186,Ammonia,HMDB0000051,63,Newborn (0-30 days old),Male,3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency
187,Ammonia,HMDB0000051,50.4 +/- 17.0,Adult (>18 years old),Both,Short bowel syndrome
188,Ammonia,HMDB0000051,>700,Adolescent (13-18 years old),Male,Mitochondrial complex I deficiency due to ACAD9 deficiency
189,Ammonia,HMDB0000051,252.488 +/- 46.387,Adult (>18 years old),Not Specified,adult-type citrullinemia
190,Ammonia,HMDB0000051,70.462 +/- 22.313,Adult (>18 years old),Not Specified,adult-type citrullinemia
191,Ammonia,HMDB0000051,52.5 (25.0-80.0),Adult (>18 years old),Both,3-methyl-crotonyl-glycinuria
192,Ammonia,HMDB0000051,200.0 (100.0-300.0),Children (1-13 years old),Both,3-Methyl-Crotonyl-Glycinuria
193,Argininosuccinic acid,HMDB0000052,1515,Infant (0-1 year old),Male,Argininosuccinic aciduria (ASL)
194,Argininosuccinic acid,HMDB0000052,300.0 (270.0-458.0),Children (1-13 years old),Female,Argininosuccinyl-CoA lyase deficiency
195,Androstenedione,HMDB0000053,0.000698-0.0583,Newborn (0-30 days old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
196,Androstenedione,HMDB0000053,0.0066 +/- 0.0038,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS)
197,Androstenedione,HMDB0000053,0.00663,Adolescent (13-18 years old),Female,21-hydroxylase deficiency
198,Androstenedione,HMDB0000053,0-0.00244,Adult (>18 years old),Female,21-hydroxylase deficiency
199,Androstenedione,HMDB0000053,0.517,Infant (0-1 year old),Both,"Congenital Adrenal Hyperplasia, due to 21-Hydroxylase-Deficiency (CAH)"
200,Androstenedione,HMDB0000053,0.00154-0.0174,Adult (>18 years old),Female,21-hydroxylase deficiency
201,Androstenedione,HMDB0000053,0.00137 +/- 0.000800,Newborn (0-30 days old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
202,Androstenedione,HMDB0000053,0.000810 +/- 0.00140,Children (1-13 years old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
203,Androstenedione,HMDB0000053,0.000900-0.00420,Adult (>18 years old),Male,X-linked ichthyosis
204,Androstenedione,HMDB0000053,0.0017,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
205,Androstenedione,HMDB0000053,0.0041,Adolescent (13-18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
206,Androstenedione,HMDB0000053,0.00175-0.0770,Newborn (0-30 days old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
207,Androstenedione,HMDB0000053,0.000270-0.0480,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
208,Androstenedione,HMDB0000053,0.000570 +/- 0.000200,Children (1-13 years old),Both,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
209,Androstenedione,HMDB0000053,0.00103 +/- 0.00100,Infant (0-1 year old),Not Specified,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
210,Androstenedione,HMDB0000053,0.00380 +/- 0.00100,Adult (>18 years old),Male,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
211,Androstenedione,HMDB0000053,0.00430 +/- 0.00180,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
212,Androstenedione,HMDB0000053,,Adult (>18 years old),Male,Schizophrenia
213,Androstenedione,HMDB0000053,<0.00003,Adult (>18 years old),Female,Lipoid Adrenal Hyperplasia
214,Androstenedione,HMDB0000053,<0.00003,Adolescent (13-18 years old),Female,Lipoid Adrenal Hyperplasia
215,Androstenedione,HMDB0000053,0.00279-0.00454,Adult (>18 years old),Female,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency"
216,Androstenedione,HMDB0000053,0.12,Newborn (0-30 days old),Female,11-beta-hydroxylase deficiency
217,Androstenedione,HMDB0000053,0.00360-0.0227,Children (1-13 years old),Both,11-beta-hydroxylase deficiency
218,Androstenedione,HMDB0000053,0.0090 +/- 0.0046,Adult (>18 years old),Female,Polycystic ovary syndrome (PCOS)
219,Androstenedione,HMDB0000053,0.0090 +/- 0.0065,Adult (>18 years old),Both,Cushing's syndrome
220,Androstenedione,HMDB0000053,0.0031 +/- 0.0030,Adult (>18 years old),Both,Cushing's syndrome
221,Androstenedione,HMDB0000053,0.000873,Newborn (0-30 days old),Female,"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"
222,Bilirubin,HMDB0000054,14.6 +/- 2.5,Adult (>18 years old),Both,Growth hormone deficiency
223,Bilirubin,HMDB0000054,650,Adolescent (13-18 years old),Male,Crigler-Najjar syndrome Type I
224,Bilirubin,HMDB0000054,25.656-78.678,Adult (>18 years old),Both,"Anemia, congenital dyserythropoietic, type II"
225,Bilirubin,HMDB0000054,28.7-170,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2
226,Bilirubin,HMDB0000054,22-41,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset"
227,Bilirubin,HMDB0000054,46.9-233,Children (1-13 years old),Both,Infantile Liver Failure Syndrome 2
228,Bilirubin,HMDB0000054,41-101,Newborn (0-30 days old),Both,"Citrullinemia type II, neonatal-onset"
229,Bilirubin,HMDB0000054,73.1-85.0,Infant (0-1 year old),Female,Infantile Liver Failure Syndrome 2
230,Bilirubin,HMDB0000054,41(6-381),Children (1-13 years old),Both,"Cholestasis, progressive familial intrahepatic, 1"
231,Bilirubin,HMDB0000054,59.2,Infant (0-1 year old),Female,Wolcott-Rallison syndrome
232,Bilirubin,HMDB0000054,106,Infant (0-1 year old),Female,"Bile Acid Synthesis Defect, Congenital, 1"
233,Bilirubin,HMDB0000054,24.5,Adult (>18 years old),Female,Lecithin:cholesterol Acyltransferase Deficiency
