,metagene_id,Name,Disease,Disease Synonym,min_age,max_age,min_range,max_range,unit,meta_id,related_hmdb
24,24,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,0.60,0.9,mmol/l,212,HMDB0001311
25,25,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,0.80,1.5,mmol/l,202,HMDB0001311
26,26,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,0.70,1.9,mmol/l,210,HMDB0001311
27,27,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,0.40,1.0,mmol/l,213,HMDB0001311
28,28,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",7.0,15.0,0.40,0.9,mmol/l,1137,HMDB0001311
29,29,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,7.0,0.70,1.6,mmol/l,1136,HMDB0001311
30,30,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,0.90,1.8,mmol/l,203,HMDB0001311
31,31,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,1.00,1.5,mmol/l,204,HMDB0001311
32,32,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,2.00,3.0,mmol/l,207,HMDB0001311
33,33,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.0028,92.00,325.0,μmol/l,25,HMDB0000182
34,34,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,52.00,196.0,μmol/l,41,HMDB0000182
35,35,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,66.00,270.0,μmol/l,42,HMDB0000182
36,36,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.02,0.80,5.3,µmol/l,428,HMDB0000716
37,37,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,2.0,0.50,3.8,µmol/l,429,HMDB0000716
38,38,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,0.40,4.9,µmol/l,430,HMDB0000716
39,39,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",5.0,99.0,0.70,2.6,µmol/l,431,HMDB0000716
40,40,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0.0,0.0028,90.00,270.0,μmol/l,145,HMDB0003411
41,41,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18.0,64.0,90.00,270.0,μmol/l,396,HMDB0003411
42,42,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1.0,13.0,120.00,230.0,μmol/l,1278,HMDB0003411
43,45,2-Aminoadipic acid,"2-AMINOADIPIC ACIDURIA (AMOCAD, AMOXAD)",AMINOADIPIC ACIDURIA; AMOXAD,,,0.00,6.0,μmol/l,1504,HMDB0000510
44,47,2-Aminoadipic acid,"2-AMINOADIPIC ACIDURIA (AMOCAD, AMOXAD)",AMINOADIPIC ACIDURIA; AMOXAD,0.0,0.02,0.00,7.6,µmol/l,1313,HMDB0000510
46,49,4-Aminobutyric acid,2-HYDROXYGLUTARIC ACIDURIA (D) TYPE I,D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1,0.0,0.02,0.00,2.0,µmol/l,162,HMDB0000112
47,50,Succinic acid,2-HYDROXYGLUTARIC ACIDURIA (D) TYPE I,D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1,1.0,13.0,0.00,32.0,µmol/l,356,HMDB0000254
49,52,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,18.0,64.0,0.00,239.0,μmol/l,1954,HMDB0000182
50,53,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,13.0,18.0,116.00,276.0,μmol/l,1955,HMDB0000182
52,56,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,0.0,0.0028,92.00,325.0,μmol/l,25,HMDB0000182
53,57,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,0.0,2.0,52.00,196.0,μmol/l,41,HMDB0000182
54,58,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,1.0,13.0,66.00,270.0,μmol/l,42,HMDB0000182
55,61,2-Aminoadipic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,,,0.00,6.0,μmol/l,1504,HMDB0000510
56,63,2-Aminoadipic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,0.0,0.02,0.00,7.6,µmol/l,1313,HMDB0000510
57,64,Fumaric acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,18.0,64.0,0.00,4.0,µmol/l,359,HMDB0000134
58,65,Malic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,1.0,13.0,0.00,21.0,µmol/l,332,HMDB0000156
59,66,Succinic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,1.0,13.0,0.00,32.0,µmol/l,356,HMDB0000254
60,67,Citric acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,30.00,400.0,µmol/l,385,HMDB0000094
61,68,Fumaric acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18.0,64.0,0.00,4.0,µmol/l,359,HMDB0000134
62,69,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",13.0,18.0,2.60,5.5,mmol/l,47,HMDB0003345
63,70,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18.0,64.0,2.60,5.5,mmol/l,281,HMDB0003345
64,71,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,3.30,5.5,mmol/l,282,HMDB0003345
65,72,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,0.0907,1.10,3.3,mmol/l,280,HMDB0003345
66,73,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,0.0028,2.20,3.3,mmol/l,283,HMDB0003345
67,74,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,0.0028,2.80,5.0,mmol/l,46,HMDB0003345
68,75,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",,,2.70,4.5,mmol/l,1134,HMDB0003345
69,76,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",,,3.00,4.3,mmol/l,1135,HMDB0003345
70,77,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,2.60,5.5,mmol/l,490,HMDB0003345
71,78,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,0.0028,2.60,5.5,mmol/l,333,HMDB0003345
72,79,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,2.0,2.60,5.5,mmol/l,334,HMDB0003345
73,91,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,2.0,0.70,3.3,mmol/l,330,HMDB0001311
74,92,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.90,1.8,mmol/l,469,HMDB0001311
75,93,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.80,1.5,mmol/l,208,HMDB0001311
76,94,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18.0,64.0,0.70,1.9,mmol/l,211,HMDB0001311
77,95,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,2.0,1.00,2.3,mmol/l,214,HMDB0001311
78,96,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,2.0,0.90,2.0,mmol/l,206,HMDB0001311
79,97,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.50,1.6,mmol/l,209,HMDB0001311
80,98,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18.0,64.0,0.60,0.9,mmol/l,212,HMDB0001311
81,99,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,2.0,0.80,1.5,mmol/l,202,HMDB0001311
82,100,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.70,1.9,mmol/l,210,HMDB0001311
83,101,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18.0,64.0,0.40,1.0,mmol/l,213,HMDB0001311
84,102,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",7.0,15.0,0.40,0.9,mmol/l,1137,HMDB0001311
85,103,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,7.0,0.70,1.6,mmol/l,1136,HMDB0001311
86,104,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.90,1.8,mmol/l,203,HMDB0001311
87,105,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18.0,64.0,1.00,1.5,mmol/l,204,HMDB0001311
88,106,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0.0,2.0,2.00,3.0,mmol/l,207,HMDB0001311
89,107,Malic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.00,21.0,µmol/l,332,HMDB0000156
90,108,Succinic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1.0,13.0,0.00,32.0,µmol/l,356,HMDB0000254
91,109,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0.0,2.0,0.70,3.3,mmol/l,330,HMDB0001311
92,110,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1.0,13.0,0.90,1.8,mmol/l,469,HMDB0001311
93,111,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1.0,13.0,0.80,1.5,mmol/l,208,HMDB0001311
94,112,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18.0,64.0,0.70,1.9,mmol/l,211,HMDB0001311
95,113,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0.0,2.0,1.00,2.3,mmol/l,214,HMDB0001311
96,114,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0.0,2.0,0.90,2.0,mmol/l,206,HMDB0001311
97,115,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1.0,13.0,0.50,1.6,mmol/l,209,HMDB0001311
98,116,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18.0,64.0,0.60,0.9,mmol/l,212,HMDB0001311
99,117,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0.0,2.0,0.80,1.5,mmol/l,202,HMDB0001311
100,118,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1.0,13.0,0.70,1.9,mmol/l,210,HMDB0001311
101,119,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18.0,64.0,0.40,1.0,mmol/l,213,HMDB0001311
102,120,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,7.0,15.0,0.40,0.9,mmol/l,1137,HMDB0001311
103,121,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1.0,7.0,0.70,1.6,mmol/l,1136,HMDB0001311
104,122,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1.0,13.0,0.90,1.8,mmol/l,203,HMDB0001311
105,123,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18.0,64.0,1.00,1.5,mmol/l,204,HMDB0001311
106,124,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0.0,2.0,2.00,3.0,mmol/l,207,HMDB0001311
107,125,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,13.0,18.0,2.60,5.5,mmol/l,47,HMDB0003345
108,126,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,18.0,64.0,2.60,5.5,mmol/l,281,HMDB0003345
109,127,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,1.0,13.0,3.30,5.5,mmol/l,282,HMDB0003345
110,128,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0.0,0.0907,1.10,3.3,mmol/l,280,HMDB0003345
111,129,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0.0,0.0028,2.20,3.3,mmol/l,283,HMDB0003345
112,130,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0.0,0.0028,2.80,5.0,mmol/l,46,HMDB0003345
113,131,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,,,2.70,4.5,mmol/l,1134,HMDB0003345
114,132,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,,,3.00,4.3,mmol/l,1135,HMDB0003345
