,Name,Disease,Disease Synonym,min_age,max_age,min_range,max_range,unit,meta_id
11,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.02,10.00,44.00,µmol/l,1213
12,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,13.00,23.00,µmol/l,1141
13,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,7,11.50,18.00,µmol/l,1142
14,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",7,15,18.00,30.00,µmol/l,1143
15,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,40.00,60.00,µmol/l,267
16,L-Carnitine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.0907,9.00,23.00,µmol/l,1089
17,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,0.70,3.30,mmol/l,330
18,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,0.90,1.80,mmol/l,469
19,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,0.80,1.50,mmol/l,208
20,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,0.70,1.90,mmol/l,211
21,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,1.00,2.30,mmol/l,214
22,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,0.90,2.00,mmol/l,206
23,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,0.50,1.60,mmol/l,209
24,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,0.60,0.90,mmol/l,212
25,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,0.80,1.50,mmol/l,202
26,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,0.70,1.90,mmol/l,210
27,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,0.40,1.00,mmol/l,213
28,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",7,15,0.40,0.90,mmol/l,1137
29,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,7,0.70,1.60,mmol/l,1136
30,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,0.90,1.80,mmol/l,203
31,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,1.00,1.50,mmol/l,204
32,L-Lactic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,2.00,3.00,mmol/l,207
33,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.0028,92.00,325.00,μmol/l,25
34,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,52.00,196.00,μmol/l,41
35,L-Lysine,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,66.00,270.00,μmol/l,42
36,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.02,0.80,5.30,µmol/l,428
37,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,2,0.50,3.80,µmol/l,429
38,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,0.40,4.90,µmol/l,430
39,Pipecolic acid,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",5,99,0.70,2.60,µmol/l,431
40,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",0,0.0028,90.00,270.00,μmol/l,145
41,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",18,64,90.00,270.00,μmol/l,396
42,Proline,"2,4-DIENOYL-CoA REDUCTASE DEFICIENCY","2,4-DIENOYL-CoA REDUCTASE; DECRD",1,13,120.00,230.00,μmol/l,1278
45,2-Aminoadipic acid,"2-AMINOADIPIC ACIDURIA (AMOCAD, AMOXAD)",AMINOADIPIC ACIDURIA; AMOXAD,,,0.00,6.00,μmol/l,1504
47,2-Aminoadipic acid,"2-AMINOADIPIC ACIDURIA (AMOCAD, AMOXAD)",AMINOADIPIC ACIDURIA; AMOXAD,0,0.02,0.00,7.60,µmol/l,1313
48,2-Hydroxyglutaric acid (D),2-HYDROXYGLUTARIC ACIDURIA (D) TYPE I,D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1,0,99,0.30,0.90,μmol/l,291
49,4-Aminobutyric acid,2-HYDROXYGLUTARIC ACIDURIA (D) TYPE I,D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1,0,0.02,0.00,2.00,µmol/l,162
50,Succinic acid,2-HYDROXYGLUTARIC ACIDURIA (D) TYPE I,D-2-HYDROXYGLUTARIC ACIDURIA 1; D2HGA1,1,13,0.00,32.00,µmol/l,356
51,2-Hydroxyglutaric acid (D),2-HYDROXYGLUTARIC ACIDURIA (D) TYPE II,D-2-HYDROXYGLUTARIC ACIDURIA 2; D2HGA2,0,99,0.30,0.90,μmol/l,291
52,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,18,64,0.00,239.00,μmol/l,1954
53,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,13,18,116.00,276.00,μmol/l,1955
54,2-Hydroxyglutaric acid (L),2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,0,99,0.50,1.00,μmol/l,336
56,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,0,0.0028,92.00,325.00,μmol/l,25
57,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,0,2,52.00,196.00,μmol/l,41
58,L-Lysine,2-HYDROXYGLUTARIC ACIDURIA (L),2-HYDROXYGLUTARIC ACIDEMIA (L); L-2-HYDROXYGLUTARIC ACIDURIA; L2HGA,1,13,66.00,270.00,μmol/l,42
61,2-Aminoadipic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,,,0.00,6.00,μmol/l,1504
63,2-Aminoadipic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,0,0.02,0.00,7.60,µmol/l,1313
64,Fumaric acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,18,64,0.00,4.00,µmol/l,359
65,Malic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,1,13,0.00,21.00,µmol/l,332
66,Succinic acid,2-KETOADIPIC ACIDEMIA,KETOADIPICACIDURIA;,1,13,0.00,32.00,µmol/l,356
67,Citric acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,30.00,400.00,µmol/l,385
68,Fumaric acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18,64,0.00,4.00,µmol/l,359
69,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",13,18,2.60,5.50,mmol/l,47
70,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18,64,2.60,5.50,mmol/l,281
71,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,3.30,5.50,mmol/l,282
72,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,0.0907,1.10,3.30,mmol/l,280
73,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,0.0028,2.20,3.30,mmol/l,283
74,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,0.0028,2.80,5.00,mmol/l,46
75,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",,,2.70,4.50,mmol/l,1134
76,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",,,3.00,4.30,mmol/l,1135
77,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,2.60,5.50,mmol/l,490
78,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,0.0028,2.60,5.50,mmol/l,333
79,D-Glucose,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,2,2.60,5.50,mmol/l,334
91,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,2,0.70,3.30,mmol/l,330
92,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.90,1.80,mmol/l,469
93,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.80,1.50,mmol/l,208
94,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18,64,0.70,1.90,mmol/l,211
95,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,2,1.00,2.30,mmol/l,214
96,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,2,0.90,2.00,mmol/l,206
97,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.50,1.60,mmol/l,209
98,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18,64,0.60,0.90,mmol/l,212
99,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,2,0.80,1.50,mmol/l,202
100,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.70,1.90,mmol/l,210
101,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18,64,0.40,1.00,mmol/l,213
102,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",7,15,0.40,0.90,mmol/l,1137
103,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,7,0.70,1.60,mmol/l,1136
104,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.90,1.80,mmol/l,203
105,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",18,64,1.00,1.50,mmol/l,204
106,L-Lactic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",0,2,2.00,3.00,mmol/l,207
107,Malic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.00,21.00,µmol/l,332
108,Succinic acid,2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY,"ALPHA-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY ; ACIDEMIA, 2-OXOGLUTARIC",1,13,0.00,32.00,µmol/l,356
109,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0,2,0.70,3.30,mmol/l,330
110,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1,13,0.90,1.80,mmol/l,469
111,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1,13,0.80,1.50,mmol/l,208
112,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18,64,0.70,1.90,mmol/l,211
113,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0,2,1.00,2.30,mmol/l,214
114,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0,2,0.90,2.00,mmol/l,206
115,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1,13,0.50,1.60,mmol/l,209
116,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18,64,0.60,0.90,mmol/l,212
117,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0,2,0.80,1.50,mmol/l,202
118,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1,13,0.70,1.90,mmol/l,210
119,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18,64,0.40,1.00,mmol/l,213
120,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,7,15,0.40,0.90,mmol/l,1137
121,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1,7,0.70,1.60,mmol/l,1136
122,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,1,13,0.90,1.80,mmol/l,203
123,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,18,64,1.00,1.50,mmol/l,204
124,L-Lactic acid,2-METHYL-3-HYDROXYBUTYRYL-CoA DEHYDROGENASE DEFICIENCY (HSD10),17-BETA-HYDROXYSTEROID DEHYDROGENASE X DEFICIENCY; HSD10 MITOCHONDRIAL DISEASE; HSD10MD,0,2,2.00,3.00,mmol/l,207
125,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,13,18,2.60,5.50,mmol/l,47
126,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,18,64,2.60,5.50,mmol/l,281
127,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,1,13,3.30,5.50,mmol/l,282
128,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0,0.0907,1.10,3.30,mmol/l,280
129,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0,0.0028,2.20,3.30,mmol/l,283
130,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0,0.0028,2.80,5.00,mmol/l,46
131,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,,,2.70,4.50,mmol/l,1134
132,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,,,3.00,4.30,mmol/l,1135
133,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,1,13,2.60,5.50,mmol/l,490
134,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0,0.0028,2.60,5.50,mmol/l,333
135,D-Glucose,2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0,2,2.60,5.50,mmol/l,334
136,Isovalerylcarnitine (C5),2-METHYLBUTYRYL-COA DEHYDROGENASE DEFICIENCY (SBCADD),SHORT/BRANCHED-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY,0,0.02,0.03,0.31,µmol/l,1221
139,17-Hydroxyprogesterone,3-BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,ADRENAL HYPERPLASIA II; STEROID 3 BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,0,2,1.00,93.00,ng/dl,446
140,17-Hydroxyprogesterone,3-BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,ADRENAL HYPERPLASIA II; STEROID 3 BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,0,0.0907,50.00,1800.00,µg/dl,751
142,Adrenocorticotropic hormone (ACTH),3-BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,ADRENAL HYPERPLASIA II; STEROID 3 BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,1,13,10.00,20.00,pg/ml,473
143,Adrenocorticotropic hormone (ACTH),3-BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,ADRENAL HYPERPLASIA II; STEROID 3 BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY,1,13,4.40,22.20,pmol/l,1195
